icrf_name,ra_deg,dec_deg,dra_mas,ddec_mas,offset_mas,pa_deg,sig_a_mas,sig_d_mas,rho_icrf3,rho_gaia,x_mahalanobis,x_naive,jet_pa_deg,delpa_deg,axis_angle_deg,downstream_angle_deg
ICRF J003814.7-245902,9.56139792,-24.98395425,-0.2958,-0.0211,0.2965,265.92,0.1998,0.1107,-0.036,0.200,1.482,1.492,,,,
ICRF J003818.0+122731,9.57506912,12.45868001,-0.3136,0.1198,0.3357,290.91,0.1625,0.2130,0.053,0.482,2.107,2.010,,,,
ICRF J003820.5-020740,9.58553893,-2.12792972,2.1192,-1.1685,2.4200,118.87,0.3984,0.3350,-0.223,0.549,8.065,6.361,,,,
ICRF J003820.7-032958,9.58664313,-3.49971174,0.0782,0.4900,0.4962,9.07,0.1463,0.2765,-0.240,0.453,1.937,1.851,,,,
ICRF J003824.8+413706,9.60351494,41.61833341,2.4320,-0.7586,2.5476,107.32,0.7633,0.4941,-0.001,-0.195,3.320,3.537,93.0,7.0,14.32,14.32
ICRF J003828.4+503525,9.61839001,50.59050948,-0.0943,0.0695,0.1172,306.39,0.1835,0.1959,0.049,-0.389,0.608,0.625,,,,
ICRF J003939.6+141157,9.91508166,14.19932131,-1.8271,-0.6932,1.9541,249.22,1.8766,1.0911,-0.200,0.539,0.984,1.163,,,,
ICRF J003946.9+490033,9.94582858,49.00921524,-0.6702,0.2530,0.7163,290.69,0.4214,0.3221,0.115,-0.485,1.597,1.774,,,,
ICRF J004013.5+012546,10.05635604,1.42954149,-3.0257,-0.7933,3.1280,255.31,0.4312,0.3096,0.014,0.499,7.021,7.470,,,,
ICRF J004018.3+094241,10.07626792,9.71160665,-8.6470,-10.0587,13.2646,220.68,1.4054,3.5751,-0.674,0.390,10.968,6.765,,,,
ICRF J004057.6-014632,10.24004824,-1.77556287,-0.0041,0.5422,0.5422,359.57,0.1368,0.1707,0.024,0.558,3.237,3.177,,,,
ICRF J004115.9+321107,10.31639168,32.18543519,-1.5540,-3.1159,3.4819,206.51,0.8097,0.9340,0.040,0.525,3.346,3.849,,,,
ICRF J004126.0-014315,10.35837020,-1.72102264,0.1358,-0.2778,0.3092,153.95,0.3344,0.8139,-0.369,0.466,0.457,0.530,,,,
ICRF J004204.5+232001,10.51893819,23.33362832,0.1152,1.0543,1.0605,6.24,0.5849,0.3689,-0.094,0.147,2.866,2.865,,,,
ICRF J004219.4+570836,10.58104871,57.14349612,-0.1371,0.0398,0.1428,286.18,0.1572,0.1756,0.002,-0.121,0.889,0.901,,,,
ICRF J004426.6-842239,11.11120513,-84.37777431,-0.5488,-0.0858,0.5554,261.11,0.2882,0.2394,0.284,0.045,1.915,1.938,,,,
ICRF J004512.0-370548,11.30027534,-37.09679658,-0.2679,0.5959,0.6534,335.80,0.1341,0.3262,-0.215,0.086,2.511,2.707,,,,
ICRF J004607.8+245632,11.53260727,24.94236788,0.2228,0.1695,0.2800,52.73,0.1337,0.1343,-0.076,0.052,2.104,2.091,,,,
ICRF J004613.7-263154,11.55740061,-26.53179244,-0.3703,-0.5333,0.6493,214.77,0.5694,0.6013,-0.145,0.122,1.068,1.100,,,,
ICRF J004647.5+390047,11.69824273,39.01309669,-2.6832,2.3655,3.5771,311.40,1.8668,1.9447,-0.081,-0.244,1.693,1.883,,,,
ICRF J004700.4+565742,11.75178677,56.96177626,0.2853,0.2517,0.3804,48.58,0.2205,0.2326,-0.006,-0.342,1.921,1.687,19.0,11.0,29.58,29.58
