icrf_name,ra_deg,dec_deg,dra_mas,ddec_mas,offset_mas,pa_deg,sig_a_mas,sig_d_mas,rho_icrf3,rho_gaia,x_mahalanobis,x_naive,jet_pa_deg,delpa_deg,axis_angle_deg,downstream_angle_deg
ICRF J133907.1-063704,204.77977323,-6.61802189,0.2248,2.6772,2.6867,4.80,0.9775,0.8876,-0.631,-0.318,3.290,3.025,,,,
ICRF J133919.8-262030,204.83287825,-26.34180441,-1.4356,0.5460,1.5359,290.82,0.6520,0.7419,-0.114,-0.298,2.204,2.322,,,,
ICRF J133923.7+632858,204.84909520,63.48289553,1.3612,0.0004,1.3612,89.98,0.2100,0.1777,0.287,-0.142,6.505,6.482,,,,
ICRF J134004.6-013746,205.01922944,-1.62959549,0.0136,0.0623,0.0638,12.27,0.2115,0.2064,-0.298,-0.238,0.331,0.309,,,,
ICRF J134022.9+375443,205.09563259,37.91217592,-1.2327,-2.4782,2.7679,206.45,0.1638,0.2673,-0.146,0.252,12.484,11.941,,,,
ICRF J134048.0+692322,205.20003124,69.38964483,0.3496,-0.0760,0.3578,102.27,0.3270,0.2824,0.074,0.031,1.113,1.103,,,,
ICRF J134100.8-164313,205.25363781,-16.72039492,-0.0788,-0.5296,0.5354,188.47,0.3622,0.4687,0.177,-0.169,1.139,1.151,,,,
ICRF J134115.2+281605,205.31367821,28.26807695,0.2489,0.1589,0.2953,57.44,0.4564,0.4042,-0.058,-0.319,0.792,0.672,,,,
ICRF J134159.9+370710,205.49963113,37.11948419,2.8517,-5.7773,6.4428,153.73,1.9593,2.9549,0.182,0.155,2.686,2.437,,,,
ICRF J134204.6+124249,205.51932483,12.71388036,1.4848,-0.5584,1.5863,110.61,1.3495,1.1516,-0.183,-0.328,1.109,1.202,,,,
ICRF J134204.7-205129,205.51974813,-20.85820595,0.2922,0.2674,0.3961,47.54,0.2025,0.2375,-0.278,-0.182,2.034,1.830,,,,
ICRF J134208.3+270930,205.53490291,27.15850476,-0.0343,-0.2016,0.2045,189.65,0.1174,0.1533,0.060,-0.233,1.357,1.347,,,,
ICRF J134215.3-290041,205.56394012,-29.01161986,-3.2615,7.4226,8.1075,336.28,2.5946,5.4610,-0.082,-0.717,1.419,1.851,,,,
ICRF J134300.5+685517,205.75230687,68.92143240,-0.0521,-0.0264,0.0584,243.09,0.1579,0.1522,-0.029,0.011,0.377,0.373,,,,
ICRF J134345.9+660225,205.94149826,66.04048475,-0.4122,0.2592,0.4869,302.16,0.3039,0.2285,0.045,-0.255,1.585,1.768,,,,
ICRF J134408.6+660611,206.03616506,66.10323438,-0.4439,-0.1860,0.4814,247.26,0.2287,0.2036,0.033,-0.090,2.224,2.146,,,,
ICRF J134414.4-172340,206.06001022,-17.39455435,-0.4074,0.0510,0.4106,277.14,0.6094,0.5592,0.007,-0.306,0.678,0.675,306.0,84.0,28.86,28.86
ICRF J134533.1+445259,206.38821866,44.88321460,-0.3277,-0.0053,0.3277,269.08,0.1804,0.2407,-0.104,0.284,1.850,1.817,223.0,92.0,46.08,46.08
ICRF J134536.9+382312,206.40392598,38.38680686,0.2798,-3.9108,3.9208,175.91,0.2190,0.5346,0.092,0.322,7.582,7.426,,,,
ICRF J134549.3+070631,206.45547821,7.10864448,-0.2236,-0.2085,0.3057,227.00,0.2987,0.3046,0.090,-0.160,1.054,1.014,,,,
ICRF J134649.0-602429,206.70434368,-60.40815428,-8.6674,-3.9253,9.5148,245.64,1.9376,2.0704,0.482,0.572,4.509,4.858,,,,
ICRF J134704.5-181959,206.76904298,-18.33325455,-0.1094,-0.0828,0.1372,232.87,0.8757,0.7047,-0.101,0.239,0.156,0.171,,,,
ICRF J134723.4+183537,206.84787579,18.59377050,0.2760,0.0373,0.2785,82.31,0.1673,0.1865,-0.138,-0.094,1.692,1.662,,,,
ICRF J134731.4+055233,206.88101975,5.87605663,-4.2894,-2.7982,5.1215,236.88,2.0676,1.4914,0.237,-0.115,2.945,2.797,,,,
ICRF J134733.3+121724,206.88900674,12.29006664,15.7810,-23.1574,28.0233,145.73,0.3987,0.3864,-0.297,-0.183,66.310,71.825,167.0,9.0,21.27,21.27
ICRF J134740.4-375036,206.91845413,-37.84350559,-0.1040,-0.1386,0.1733,216.87,0.3982,0.4350,-0.116,-0.113,0.432,0.412,,,,
ICRF J134804.3+284025,207.01812129,28.67371284,-0.1723,0.4462,0.4783,338.89,0.2464,0.5216,-0.074,-0.079,1.068,1.105,,,,
ICRF J134839.9-164001,207.16628725,-16.66708811,-0.7154,-0.5526,0.9040,232.32,0.7380,0.8036,-0.260,-0.086,1.271,1.189,,,,
ICRF J134859.2-170406,207.24679311,-17.06834950,0.1818,0.1477,0.2342,50.90,0.3732,0.6252,-0.301,0.033,0.581,0.541,,,,
ICRF J134903.1-111000,207.26330436,-11.16689425,0.4792,-1.1073,1.2066,156.60,0.2585,0.3213,-0.200,-0.276,3.612,3.914,,,,
ICRF J134920.3-305624,207.33499368,-30.94005437,0.2720,0.4506,0.5263,31.11,0.6088,0.5441,-0.454,0.112,0.933,0.941,,,,
ICRF J134931.4-113253,207.38101360,-11.54828617,0.0094,0.0964,0.0968,5.59,0.1841,0.2838,-0.222,-0.135,0.357,0.343,,,,
ICRF J134934.6+534117,207.39440256,53.68806669,0.2299,-0.0889,0.2465,111.14,0.0674,0.0710,-0.144,0.140,3.635,3.636,,,,
ICRF J135022.1+094010,207.59223332,9.66962638,-36.6382,-24.8285,44.2585,235.88,11.0529,11.7659,0.124,-0.586,5.997,3.929,,,,
ICRF J135036.1-163449,207.65059980,-16.58042054,1.0745,-0.2689,1.1076,104.05,0.3374,0.4104,0.058,-0.395,3.187,3.252,,,,
ICRF J135045.6+233145,207.69024325,23.52921089,-0.2847,-0.3056,0.4176,222.97,0.2185,0.3418,0.108,-0.584,1.527,1.580,,,,
ICRF J135052.7+303453,207.71973427,30.58155297,-0.3067,0.1228,0.3304,291.83,0.1679,0.1316,-0.013,-0.043,2.020,2.052,293.0,15.0,1.17,1.17
ICRF J135116.9+083039,207.82049611,8.51108426,-0.0607,0.2385,0.2461,345.73,0.1122,0.1472,-0.001,-0.242,1.664,1.708,,,,
ICRF J135146.8-291217,207.94516181,-29.20490316,-2.5682,3.3805,4.2454,322.78,0.4765,0.4987,-0.319,-0.144,8.072,8.660,,,,
ICRF J135228.0-274507,208.11685880,-27.75198111,0.5401,-0.7082,0.8906,142.67,0.6151,0.5458,-0.227,-0.073,1.512,1.567,,,,
ICRF J135256.5-441240,208.23556228,-44.21121878,0.0957,-0.1084,0.1446,138.58,0.1005,0.1032,-0.101,0.099,1.425,1.418,,,,
ICRF J135323.1+753257,208.34653368,75.54937105,-0.0105,-0.2205,0.2208,182.73,0.1182,0.1205,-0.011,0.063,1.831,1.832,,,,
ICRF J135351.5+015153,208.46493506,1.86496926,-0.1731,0.4318,0.4651,338.16,0.2039,0.3076,0.037,0.034,1.664,1.640,,,,
ICRF J135406.8-020603,208.52873053,-2.10088625,0.0304,0.0547,0.0625,29.07,0.3822,0.2826,-0.010,-0.083,0.216,0.209,,,,
ICRF J135446.5-104102,208.69382786,-10.68407117,-0.2116,0.0178,0.2123,274.82,0.1053,0.0886,-0.008,-0.049,2.013,2.020,,,,
ICRF J135606.9-172431,209.02897085,-17.40883826,1.0111,-0.4490,1.1063,113.94,0.3976,0.4611,-0.145,-0.214,2.593,2.723,,,,
ICRF J135640.3+243100,209.16825000,24.51672530,-0.8041,0.5962,1.0010,306.55,0.4159,0.9551,-0.165,-0.530,1.957,2.032,,,,
ICRF J135646.8-110129,209.19513258,-11.02478530,0.3026,0.6866,0.7504,23.78,0.2043,0.3292,-0.109,-0.078,2.678,2.558,,,,
ICRF J135704.4+191907,209.26848609,19.31871454,-0.2214,0.2973,0.3707,323.33,0.0552,0.0602,-0.274,-0.259,5.671,6.358,,,,
ICRF J135706.0-174401,209.27530920,-17.73386250,-0.7185,-0.3173,0.7854,246.17,0.2309,0.2447,-0.094,-0.306,3.800,3.371,,,,
ICRF J135711.2-152728,209.29685409,-15.45799635,0.2294,0.3143,0.3891,36.12,0.2416,0.2763,-0.070,-0.403,1.903,1.482,,,,
ICRF J135801.3+834021,209.50561684,83.67276708,-0.6344,-0.4534,0.7798,234.45,0.6180,0.4737,-0.103,-0.024,1.456,1.403,,,,
ICRF J135822.4+111932,209.59341544,11.32581097,0.7190,-0.7278,1.0231,135.35,0.4647,0.4120,-0.146,-0.001,2.311,2.348,,,,
ICRF J135840.6+473758,209.66944362,47.63286432,-3.0780,1.6783,3.5058,298.60,1.4362,1.6173,-0.043,0.343,2.851,2.381,,,,
ICRF J135900.1-415252,209.75077093,-41.88128855,-0.0611,1.2557,1.2572,357.21,0.8378,1.5668,-0.443,-0.260,0.861,0.805,,,,
ICRF J135905.7+554429,209.77393096,55.74149549,0.0584,-0.1608,0.1711,160.06,0.1612,0.1791,-0.029,0.066,0.973,0.968,,,,
ICRF J135927.1+015954,209.86312227,1.99848976,-0.1192,-0.1005,0.1559,229.88,0.1624,0.1615,-0.125,0.172,0.942,0.962,,,,
ICRF J135938.0+401138,209.90872609,40.19395852,0.2016,2.3272,2.3359,4.95,0.1530,0.1877,-0.109,0.227,12.402,12.471,,,,
ICRF J140003.8-185811,210.01610831,-18.96974599,-0.2083,0.0167,0.2090,274.58,0.1999,0.2324,-0.251,-0.045,1.043,1.045,,,,
ICRF J140020.4-102341,210.08524785,-10.39472483,-9.6211,1.8920,9.8054,281.13,6.3461,9.6258,-0.713,-0.752,2.074,1.529,,,,
ICRF J140048.4+042530,210.20185045,4.42524460,0.0708,-0.1993,0.2115,160.44,0.6697,0.7025,0.068,-0.325,0.285,0.303,,,,
ICRF J140105.3-091631,210.27221601,-9.27543664,1.2429,-1.8720,2.2471,146.42,0.3363,0.3287,-0.417,-0.108,6.377,6.790,,,,
ICRF J140134.9-300436,210.39558098,-30.07690884,-0.1002,0.1401,0.1722,324.43,0.6536,0.5572,-0.038,0.257,0.328,0.294,,,,
ICRF J140145.6+583542,210.44041669,58.59507414,-0.3472,-0.1320,0.3715,249.19,0.5617,0.4890,-0.039,-0.170,0.718,0.675,,,,
ICRF J140202.4-282225,210.51000694,-28.37365118,-0.0222,1.1439,1.1441,358.89,1.4724,2.3952,-0.214,-0.433,0.522,0.478,,,,
ICRF J140244.5+155956,210.68547313,15.99907381,3.8363,-0.2912,3.8474,94.34,0.1886,0.2369,-0.097,0.097,20.354,20.374,,,,
ICRF J140245.7-182556,210.69064814,-18.43234072,0.1895,0.0442,0.1945,76.87,0.4452,0.5683,-0.128,-0.135,0.447,0.433,,,,
ICRF J140248.5-184047,210.70210223,-18.67985824,-0.1573,0.2652,0.3083,329.33,0.2607,0.3093,-0.278,-0.101,0.987,1.048,,,,
ICRF J140313.2+061008,210.80539181,6.16898789,-7.1915,1.2440,7.2983,279.81,1.6898,1.2123,-0.236,0.005,4.363,4.378,,,,
ICRF J140412.1-001325,211.05051658,-0.22363642,0.2341,-0.2520,0.3440,137.10,0.1897,0.1920,-0.205,-0.165,1.671,1.802,,,,
ICRF J140432.9+072846,211.13746805,7.47971239,-0.0738,0.7051,0.7089,354.02,0.2403,0.3540,0.342,-0.339,2.059,2.015,,,,
ICRF J140445.8-013021,211.19123105,-1.50609643,0.9899,0.2405,1.0187,76.34,0.1785,0.1557,-0.077,-0.017,5.812,5.757,,,,
ICRF J140501.1+041535,211.25466591,4.25994969,0.3977,-0.3167,0.5084,128.53,0.2424,0.1976,-0.188,-0.029,2.249,2.294,336.0,9.0,27.47,152.53
ICRF J140507.7+405657,211.28248101,40.94939754,-0.1327,-0.1597,0.2076,219.73,0.1648,0.2002,-0.087,0.114,1.104,1.133,,,,
ICRF J140532.8-144018,211.38694732,-14.67174909,-0.1061,-0.1116,0.1541,223.55,0.1400,0.2548,-0.316,-0.152,0.993,0.876,,,,
ICRF J140600.5-105849,211.50237966,-10.98053888,0.0661,-1.3953,1.3968,177.29,0.5090,1.2741,-0.808,-0.215,1.555,1.103,,,,
ICRF J140600.7-084806,211.50292455,-8.80191144,-1.2922,-0.0117,1.2922,269.48,0.2557,0.2411,-0.255,-0.130,5.113,5.054,,,,
ICRF J140636.5+782810,211.65236247,78.46955689,0.0675,0.1350,0.1510,26.55,0.2322,0.2321,-0.102,-0.003,0.666,0.650,,,,
ICRF J140653.8+343337,211.72436360,34.56036280,0.1513,-0.2987,0.3348,153.14,0.1224,0.1723,-0.261,0.175,2.001,2.129,,,,
ICRF J140700.3+282714,211.75164340,28.45408059,0.8767,0.3866,0.9581,66.20,0.0566,0.0547,-0.079,-0.002,17.200,17.031,,,,
ICRF J140701.9+762813,211.75826292,76.47042401,-0.2091,0.2192,0.3029,316.36,0.2268,0.2479,0.021,0.043,1.299,1.278,,,,
ICRF J140729.7-270104,211.87400954,-27.01785880,3.9253,0.2144,3.9312,86.87,0.3280,0.4245,-0.087,-0.008,12.004,11.976,,,,
ICRF J140754.9-343128,211.97882096,-34.52451783,0.2663,0.8046,0.8475,18.32,0.2685,0.6809,-0.072,-0.069,1.600,1.543,,,,
ICRF J140812.9+561332,212.05394268,56.22569016,-0.0611,-0.0593,0.0852,225.85,0.1386,0.1562,-0.273,0.028,0.629,0.582,,,,
ICRF J140819.0+685450,212.07948320,68.91411910,0.0312,0.0970,0.1019,17.82,0.3661,0.3183,-0.425,-0.022,0.357,0.316,,,,
ICRF J140848.8+650528,212.20338058,65.09112162,-1.0206,0.3772,1.0881,290.29,0.8139,0.6326,0.484,0.015,1.857,1.389,,,,
ICRF J140849.6-290023,212.20672396,-29.00655788,-0.3285,0.1700,0.3699,297.37,0.1350,0.2689,0.028,-0.325,2.484,2.514,,,,
ICRF J140856.4-075226,212.23533836,-7.87407404,-0.8487,-0.0251,0.8490,268.31,0.2133,0.1807,0.033,-0.158,4.050,3.981,272.0,32.0,3.69,3.69
ICRF J140911.9-231549,212.29990062,-23.26378086,1.3536,-0.6362,1.4957,115.17,2.3394,1.9450,-0.111,-0.050,0.651,0.665,,,,
ICRF J140950.1-265736,212.45904077,-26.96027235,6.2028,-4.6152,7.7314,126.65,4.4255,3.9650,0.161,-0.447,1.525,1.822,,,,
ICRF J141004.6+020306,212.51939986,2.05192014,-0.4032,0.2597,0.4796,302.79,0.2270,0.2469,-0.244,-0.260,1.890,2.064,,,,
ICRF J141019.6-190310,212.58206325,-19.05283405,2.8280,0.6387,2.8993,77.27,1.9510,1.1248,0.052,0.459,1.452,1.557,,,,
ICRF J141107.8+003607,212.78264003,0.60200793,0.0594,-0.0223,0.0634,110.56,0.2598,0.5895,-0.607,0.019,0.249,0.232,,,,
ICRF J141134.6+742429,212.89440916,74.40825719,-1.1928,-0.5716,1.3227,244.39,2.6063,1.6721,-0.384,0.126,0.723,0.571,,,,
ICRF J141154.8+213423,212.97859255,21.57317702,-0.7698,1.6150,1.7891,334.51,1.1128,0.8949,-0.119,0.362,2.302,1.933,,,,
ICRF J141509.9+083205,213.79132677,8.53482474,-1.5385,0.9509,1.8087,301.72,0.5403,0.6319,-0.431,-0.570,2.848,3.221,,,,
ICRF J141520.8-095558,213.83680806,-9.93286960,0.0397,-0.3914,0.3934,174.22,0.2518,0.3680,-0.088,-0.363,1.071,1.075,,,,
ICRF J141528.4+370621,213.86861165,37.10587834,-0.4422,0.7836,0.8997,330.57,0.1464,0.1710,-0.367,0.233,4.894,5.488,,,,
ICRF J141533.5+650123,213.88968265,65.02330676,1.2381,-0.2188,1.2573,100.02,1.4124,0.8697,-0.554,0.020,0.920,0.912,,,,
ICRF J141536.7+483030,213.90333338,48.50845825,-0.0060,1.0720,1.0721,359.68,0.5213,0.8995,0.066,0.107,1.195,1.192,,,,
ICRF J141628.6+124213,214.11940160,12.70377147,-0.5955,-0.1021,0.6042,260.27,0.3511,0.5803,-0.034,-0.264,1.715,1.705,,,,
ICRF J141634.3-170545,214.14320718,-17.09603689,-0.2437,0.0808,0.2568,288.34,0.5183,0.4521,-0.136,-0.128,0.486,0.503,,,,
ICRF J141708.1+460705,214.28400623,46.11818030,-0.0168,-0.1299,0.1310,187.39,0.1201,0.1314,-0.137,0.130,1.015,0.998,,,,
ICRF J141740.4+381821,214.41852410,38.30587288,0.7368,-0.5076,0.8947,124.56,0.2001,0.2511,-0.234,0.261,3.938,4.200,,,,
ICRF J141803.7+170324,214.51557754,17.05684241,-0.0189,-0.5283,0.5286,182.05,0.4608,1.0145,-0.148,-0.036,0.534,0.522,,,,
ICRF J141850.7+154106,214.71133853,15.68509444,0.0533,-0.5325,0.5351,174.28,0.2562,0.4897,0.122,-0.251,1.133,1.107,,,,
ICRF J141858.9-350942,214.74548720,-35.16180777,0.1825,0.4509,0.4864,22.03,0.1908,0.2534,-0.051,0.010,2.033,2.020,,,,
ICRF J141908.1+062834,214.78408394,6.47633428,0.0203,-0.2430,0.2439,175.24,0.1277,0.1844,-0.122,-0.223,1.318,1.328,,,,
ICRF J141935.2-515458,214.89685506,-51.91626948,-0.0734,-0.4608,0.4666,189.05,0.3947,0.5683,0.051,0.172,0.819,0.832,,,,
ICRF J141946.5+542314,214.94415587,54.38744086,0.0571,-0.0949,0.1107,148.98,0.0392,0.0386,-0.062,0.137,2.879,2.860,130.0,30.0,18.98,18.98
ICRF J141946.6+382148,214.94422401,38.36346529,-0.0043,0.2292,0.2292,358.92,0.1767,0.2284,-0.044,0.207,1.030,1.004,197.0,174.0,18.08,161.92
ICRF J141949.7-192825,214.95724457,-19.47368560,-0.8723,-1.2898,1.5571,214.07,0.1205,0.2236,0.089,-0.229,9.195,9.256,,,,
ICRF J141959.2+270625,214.99707116,27.10709799,-0.0924,0.2893,0.3037,342.29,0.2430,0.3676,0.030,-0.634,0.797,0.874,,,,
ICRF J142000.3+372134,215.00142111,37.35962771,0.3884,-0.3012,0.4915,127.79,0.1633,0.2194,0.151,0.272,3.003,2.746,,,,
ICRF J142020.8+170329,215.08704648,17.05810423,0.1421,0.0440,0.1488,72.78,0.2877,0.2762,-0.097,-0.126,0.541,0.519,,,,
ICRF J142107.7-064356,215.28231503,-6.73232105,0.0562,0.0720,0.0913,37.94,0.2759,0.2856,0.161,0.086,0.309,0.324,,,,
ICRF J142114.0+282452,215.30856561,28.41466270,-0.6637,0.7018,0.9659,316.60,0.6504,1.0619,-0.542,-0.138,1.029,1.216,,,,
ICRF J142123.0+464547,215.34613712,46.76332974,0.9008,-1.8842,2.0885,154.45,0.1407,0.1629,-0.189,0.168,12.686,13.222,,,,
ICRF J142136.9-193118,215.40399214,-19.52190309,-0.0770,0.8915,0.8948,355.06,0.7201,0.6871,-0.266,-0.362,1.350,1.302,,,,
ICRF J142143.3-200143,215.43081354,-20.02885670,0.3058,0.3552,0.4687,40.73,0.3375,0.3677,0.191,0.078,1.221,1.324,,,,
ICRF J142230.3+322310,215.62657900,32.38623335,-0.0425,0.0232,0.0484,298.61,0.1237,0.1546,-0.286,0.343,0.362,0.375,135.0,15.0,16.39,163.61
ICRF J142237.1-230830,215.65460973,-23.14170447,-1.1025,0.4820,1.2033,293.61,0.6798,0.7732,-0.022,-0.198,1.657,1.738,,,,
ICRF J142242.4+041439,215.67704373,4.24420010,-0.3412,0.6055,0.6950,330.60,0.2339,0.4888,-0.517,-0.013,1.580,1.914,,,,
ICRF J142306.1+480210,215.77565266,48.03634595,0.4531,-0.3957,0.6015,131.13,0.2801,0.2820,0.027,0.086,2.221,2.141,,,,
ICRF J142314.1+505537,215.80910987,50.92702395,-1.9089,1.1417,2.2242,300.88,0.1883,0.2054,-0.258,0.003,10.945,11.563,,,,
ICRF J142330.1+115951,215.87541685,11.99756968,-2.4725,0.7061,2.5714,285.94,0.3461,0.5569,-0.335,-0.252,7.238,7.257,,,,
ICRF J142340.8-221817,215.92004251,-22.30486561,0.4587,-0.3770,0.5937,129.41,0.4365,0.4335,0.017,-0.094,1.317,1.364,,,,
ICRF J142343.5-782934,215.93145573,-78.49302769,-0.9035,0.5657,1.0660,302.05,0.5004,0.5879,-0.306,-0.013,1.887,2.046,,,,
ICRF J142409.5+043452,216.03958718,4.58113425,0.5276,-0.2816,0.5980,118.09,0.1784,0.2993,-0.457,0.013,2.958,3.104,,,,
ICRF J142416.0-140702,216.06681319,-14.11749835,-3.4539,2.0869,4.0354,301.14,2.4336,2.6379,-0.229,-0.333,1.459,1.625,,,,
ICRF J142437.0+470556,216.15449936,47.09908233,-0.0257,-0.0368,0.0449,214.96,0.2020,0.2403,0.126,0.028,0.192,0.199,,,,
ICRF J142440.5+263730,216.16886750,26.62513157,-5.2967,-5.8341,7.8799,222.24,13.4145,12.4137,0.125,-0.098,0.579,0.614,,,,
ICRF J142455.5+361536,216.23129822,36.26001150,-0.0207,0.4266,0.4271,357.22,0.3180,0.4522,-0.235,0.273,0.952,0.946,,,,
ICRF J142523.0-251306,216.34598904,-25.21860304,-0.2406,-0.8621,0.8950,195.59,0.3672,0.4683,-0.326,0.122,1.989,1.954,,,,
ICRF J142549.0+142456,216.45424172,14.41580607,0.0835,-0.0084,0.0840,95.76,0.1830,0.2125,-0.087,-0.292,0.466,0.458,,,,
ICRF J142637.0+362509,216.65453126,36.41932598,-0.4437,-0.7688,0.8877,209.99,0.2305,0.2815,0.073,0.280,2.995,3.342,,,,
ICRF J142700.3+234800,216.75163240,23.80001042,0.1533,-0.2210,0.2690,145.25,0.0499,0.0475,0.015,-0.036,5.604,5.573,144.0,22.0,1.25,1.25
ICRF J142735.6+263214,216.89836491,26.53737243,-0.6763,0.0843,0.6815,277.11,0.8551,0.9776,0.030,0.029,0.798,0.796,,,,
ICRF J142741.3-330531,216.92233801,-33.09208505,0.2598,0.4021,0.4787,32.87,0.1549,0.2559,0.009,-0.130,2.329,2.298,,,,
ICRF J142756.2-420619,216.98457319,-42.10539934,0.1899,0.1605,0.2487,49.80,0.0818,0.0696,0.007,0.075,3.173,3.272,,,,
ICRF J142828.5-155308,217.11878494,-15.88578866,0.1263,-0.1702,0.2120,143.41,0.4285,0.4423,-0.093,-0.188,0.456,0.485,,,,
ICRF J142831.7+272432,217.13234031,27.40895342,-19.5327,18.9575,27.2197,314.14,0.7036,0.8427,0.179,0.313,42.735,35.731,,,,
ICRF J142846.4+210336,217.19338625,21.06020985,-0.0621,-0.0667,0.0912,222.94,0.1813,0.2744,-0.110,-0.181,0.451,0.420,,,,
ICRF J142905.3+631604,217.27211244,63.26795942,-0.0769,0.0998,0.1260,322.37,0.2587,0.2675,-0.066,-0.046,0.465,0.477,,,,
ICRF J142921.8+540611,217.34116163,54.10308967,0.1324,-0.0933,0.1620,125.16,0.3129,0.3718,-0.154,0.116,0.515,0.492,,,,
ICRF J142934.4-205513,217.39359853,-20.92044403,-2.5218,-6.8996,7.3460,200.08,1.2442,1.3623,0.138,-0.424,6.660,5.455,,,,
ICRF J143009.7+104326,217.54057835,10.72412842,0.0563,-0.4015,0.4055,172.02,0.2042,0.2556,-0.120,-0.003,1.588,1.595,,,,
ICRF J143023.7+420436,217.59892348,42.07680307,1.0920,-0.8982,1.4139,129.44,0.7010,0.8132,0.127,0.039,1.948,1.910,,,,
ICRF J143031.3-000907,217.63042433,-0.15211572,0.1048,-0.0342,0.1103,108.09,0.7821,0.9162,0.027,-0.300,0.135,0.139,,,,
ICRF J143040.5+364903,217.66909872,36.81774688,-0.0664,-0.3461,0.3525,190.87,0.2380,0.2508,0.025,0.392,1.405,1.408,,,,
ICRF J143120.5+395241,217.83557652,39.87820246,-0.1555,1.0097,1.0216,351.24,0.1033,0.1596,0.062,0.340,6.630,6.503,,,,
ICRF J143125.8+244220,217.85785293,24.70575139,0.5088,-0.0852,0.5159,99.50,0.1801,0.2951,-0.381,0.097,2.916,2.840,,,,
ICRF J143239.8+361807,218.16595662,36.30220353,11.7792,37.1966,39.0171,17.57,1.1581,1.4169,-0.067,-0.026,28.419,28.154,,,,
ICRF J143257.6-180135,218.24037762,-18.02645800,-0.2487,0.4119,0.4812,328.88,0.2674,0.2595,-0.498,0.165,1.783,1.840,,,,
ICRF J143328.4-834108,218.36846985,-83.68575298,0.5561,-0.0041,0.5561,90.42,0.3702,0.4023,-0.121,0.224,1.508,1.502,,,,
ICRF J143405.6+420315,218.52372705,42.05444211,-0.2858,-0.5691,0.6369,206.66,0.5268,0.8220,-0.005,-0.084,0.916,0.880,,,,
ICRF J143421.1-114619,218.58806607,-11.77208644,-0.1723,0.1243,0.2124,305.82,0.1679,0.2246,-0.115,-0.101,1.122,1.166,,,,
ICRF J143439.7+195200,218.66580568,19.86687104,0.2150,-0.1029,0.2383,115.57,0.1311,0.1313,0.028,-0.195,1.717,1.818,,,,
ICRF J143539.9-041455,218.91626862,-4.24869440,81.4016,31.4476,87.2649,68.88,0.2718,0.4948,0.333,-0.122,301.361,306.122,,,,
ICRF J143640.9+232103,219.17075456,23.35090543,0.0905,-0.0321,0.0960,109.52,0.1536,0.2290,-0.195,-0.257,0.589,0.605,,,,
ICRF J143645.8+633637,219.19084233,63.61051843,1.2172,0.9422,1.5392,52.26,0.0586,0.0583,0.090,-0.020,25.781,26.314,232.0,6.0,0.26,179.74
ICRF J143708.9-294718,219.28737223,-29.78850764,-0.0099,-0.6031,0.6032,180.94,0.5118,1.1145,-0.418,-0.252,0.591,0.541,,,,
ICRF J143719.8+511249,219.33251834,51.21371358,0.4708,-0.1063,0.4827,102.72,0.2497,0.2744,0.150,0.159,2.007,1.925,,,,
ICRF J143809.4-220454,219.53945584,-22.08187457,-0.0768,0.2026,0.2166,339.25,0.1824,0.1476,0.014,0.031,1.447,1.436,,,,
ICRF J143810.7-312228,219.54494050,-31.37459076,0.4773,-0.1124,0.4904,103.25,0.2766,0.4445,0.012,-0.026,1.743,1.744,,,,
ICRF J143828.5+441812,219.61876880,44.30335340,-0.1507,0.6518,0.6690,346.98,0.2849,0.3207,0.408,0.153,2.394,2.100,,,,
ICRF J143844.7+621154,219.68659549,62.19845496,5.1459,-23.7621,24.3129,167.78,0.2729,0.2529,-0.384,-0.059,94.590,95.847,,,,
ICRF J143853.6+371035,219.72337906,37.17650464,-0.0754,-0.1841,0.1990,202.27,0.2688,0.2767,-0.003,0.295,0.676,0.722,,,,
ICRF J143920.5+371202,219.83574108,37.20078784,0.2428,-0.5122,0.5668,154.64,0.1063,0.1647,-0.075,0.289,3.772,3.859,,,,
ICRF J143923.6+325354,219.84856012,32.89856232,-0.5373,0.2518,0.5934,295.11,0.4352,0.5592,-0.126,0.462,1.280,1.314,,,,
ICRF J143946.9+495805,219.94573430,49.96818219,-0.1099,-0.1538,0.1890,215.54,0.1261,0.1439,0.051,0.126,1.329,1.379,,,,
ICRF J143956.8-153150,219.98696686,-15.53070964,0.0651,0.0259,0.0701,68.30,0.1851,0.2234,-0.028,0.162,0.365,0.371,,,,
ICRF J144017.9+055634,220.07493754,5.94280280,-1.1838,-4.4803,4.6341,194.80,0.7500,0.6940,-0.183,-0.050,6.748,6.646,,,,
ICRF J144033.6+012705,220.14019593,1.45144695,-0.7984,0.2676,0.8421,288.53,0.9147,1.0407,-0.448,0.218,0.947,0.910,,,,
ICRF J144059.4+015744,220.24789948,1.96226452,-0.0881,-0.0411,0.0972,245.01,0.2666,0.3419,-0.352,-0.127,0.381,0.352,,,,
ICRF J144115.0-391348,220.31287095,-39.23003749,18.6859,84.9562,86.9869,12.40,1.0797,1.8821,0.253,-0.295,48.476,48.342,,,,
ICRF J144119.8-330324,220.33288975,-33.05677752,0.1335,0.2414,0.2758,28.94,0.5421,0.5358,-0.110,0.091,0.503,0.513,,,,
ICRF J144123.9-345645,220.34987490,-34.94609446,-1.6042,8.4729,8.6234,349.28,0.2097,0.4819,-0.013,-0.044,19.078,19.174,,,,
ICRF J144200.1+323420,220.50057914,32.57230597,0.1827,-0.3433,0.3890,151.98,0.1927,0.2898,-0.069,0.398,1.660,1.518,,,,
