jname,mjd,size,dnudot,refs,is_new
B1859+07,46860.95,28.0,119.9,"Espinoza+2011 [elsk11], also in Shemar+1996 [sl96]",False
B1900+06,48653.7,0.4,0.1,Espinoza+2011 [elsk11],False
B1900+06,49447.0,0.3,-0.1,Espinoza+2011 [elsk11],False
B1900+06,50316.0,0.3,0.5,Espinoza+2011 [elsk11],False
B1900+06,51136.0,0.4,-0.4,Espinoza+2011 [elsk11],False
B1900+06,54239.0,0.26,-0.7,"Espinoza+2011 [elsk11] also, in Yuan+2010 [ywml10]",False
B1900+06,55436.0,0.19,nan,Basu+2021 [bsa+21],False
B1900+06,58675.0,0.57,-0.53,New - Our measurement,True
J1904-1629,59553.0,4.26,2.1,New - Our measurement,True
B1907-03,48252.0,0.5,0.0,"Espinoza+2011 [elsk11], also in Krawczyk+2003 [klgj03]",False
B1907-03,49228.2,2.5,2.0,"Espinoza+2011 [elsk11], also in Krawczyk+2003 [klgj03]",False
B1907-03,53231.14,2.7,3.0,Espinoza+2011 [elsk11],False
B1907+00,49530.0,0.4,3.0,Espinoza+2011 [elsk11],False
B1907+00,51224.0,0.2,2.0,Espinoza+2011 [elsk11],False
B1907+00,53546.0,0.5,3.0,Espinoza+2011 [elsk11],False
B1907+03,52321.0,1.3,9.0,Espinoza+2011 [elsk11],False
J1907+0602,55422.0,4660.0,nan,Belfore+2011 [3rd Fermi symp.],False
J1907+0602,55866.0,1.49,-0.26,Xing+2014 [xw14],False
J1907+0631,56987.0,2106.0,5.0,Basu+2021 [bsa+21],False
J1907+0631,57901.0,4986.0,4.7,Basu+2021 [bsa+21],False
J1909+0749,57491.0,2904.2,3.7,Basu+2021 [bsa+21],False
B1907+10,52700.0,0.3,1.0,Yuan+2010 [ywml10],False
J1909+0912,54977.0,4.4,0.09,Basu+2021 [bsa+21],False
J1909+0912,57552.0,7389.8,4.58,Basu+2021 [bsa+21],False
B1911+11,57693.0,0.26,0.36,New - Our measurement,True
J1913+0446,53500.0,6.5,1.4,Espinoza+2011 [elsk11],False
J1913+0446,55367.0,2.5,nan,Basu+2021 [bsa+21],False
J1913+0446,56553.0,0.8,0.2,Basu+2021 [bsa+21],False
J1913+0832,54653.908,38.0,6.0,Espinoza+2011 [elsk11],False
J1913+0904,56132.8,3.2,nan,Basu+2021 [bsa+21],False
J1913+1000,56600.0,491.0,nan,Basu+2021 [bsa+21],False
B1913+10,54154.0,2.7,0.4,"Espinoza+2011 [elsk11] also, in Yuan+2010 [ywml10]",False
J1913+1011,54431.0,0.2,0.1,Espinoza+2011 [elsk11],False
B1913+16,52770.0,0.037,nan,Weisberg+2010 [wnt10],False
B1917+00,50176.6,1.9,10.0,"Espinoza+2011 [elsk11], also in Krawczyk+2003 [klgj03]",False
J1921+0812,55367.0,3632.9,3.0,Basu+2021 [bsa+21],False
B1923+04,51495.0,0.08,-0.2,Espinoza+2011 [elsk11],False
B1930+22,45989.0,629.0,nan,Espinoza+2011 [elsk11],False
B1930+22,46906.0,4427.0,nan,Espinoza+2011 [elsk11],False
B1930+22,50253.0,4472.0,12.2,"Espinoza+2011 [elsk11], also in Krawczyk+2003 [klgj03]",False
J1931+1817,58392.0,8.4,0.5,New - Our measurement,True
J1931+1817,59018.0,29.23,nan,New - Our measurement,True
B1933+16,60481.65,0.72,-4.0,New - Our measurement,True
B1935+25,52032.0,0.03,0.1,Espinoza+2011 [elsk11],False
J1935+2025,59178.0,93.0,nan,Keith+2024 [kjk+24],False
J1935+2025,59591.0,2840.0,nan,Keith+2024 [kjk+24],False
B1946-25,50056.0,0.09,0.05,New - Our measurement,True
J1948+2819,59322.0,0.54,0.01,New - Our measurement,True
B1951+32,51967.0,2.3,-0.2,Janssen+2006 [js06],False
B1951+32,52385.0,0.7,0.0,Janssen+2006 [js06],False
B1951+32,52912.0,1.3,0.3,Janssen+2006 [js06],False
B1951+32,53305.0,0.5,0.1,Janssen+2006 [js06],False
B1951+32,54103.44,5.2,0.0,Espinoza+2011 [elsk11],False
B1951+32,55328.0,1489.9,5.4,Basu+2021 [bsa+21],False
B1953+50,46964.0,0.04,-0.6,Espinoza+2011 [elsk11],False
B1953+50,49038.0,0.021,-0.1,Espinoza+2011 [elsk11],False
J1954+2529,58813.0,0.26,3.1,New - Our measurement,True
J1957+2831,52485.0,0.3,0.6,Espinoza+2011 [elsk11],False
J1957+2831,52912.0,0.13,0.3,Espinoza+2011 [elsk11],False
J1957+2831,54692.8,5.8,5.0,Espinoza+2011 [elsk11],False
J1957+2831,56897.3,2.25,1.3,Basu+2021 [bsa+21],False
J2004+3427,60337.0,4376.0,6.6,New - Our Measurement,True
J2005-0020,55976.0,12.5,nan,Basu+2021 [bsa+21],False
J2021+3651,52630.1,2587.0,6.2,Hessels+2004 [hrr+04],False
J2021+3651,54177.0,745.0,5.5,Espinoza+2011 [elsk11],False
J2021+3651,55110.0,2228.8,8.5,Basu+2021 [bsa+21],False
J2021+3651,57200.0,3069.0,10.2,Basu+2021 [bsa+21],False
J2021+3651,58668.0,1186.5,4.63,New - Our measurement,True
J2021+3651,60289.0,2523.6,6.2,New - Our measurement,True
B2020+28,47409.0,0.13,0.5,New - Our measurement,True
B2021+51,58311.0,0.33,-0.83,New - Our measurement,True
J2022+3842,54680.0,1900.0,nan,Arzoumanian+2011 [agr+11],False
B2027+37,56993.6,6.2,nan,Basu+2021 [bsa+21],False
J2032+4127,55820.0,273.3,1.06,Basu+2021 [bsa+21],False
J2032+4127,59496.0,36.15,1.21,New - Our measurement,True
J2111+4606,55700.0,1091.5,3.65,G&#252;gercino&#287;lu+22 [ggyz22],False
J2111+4606,57562.0,3258.0,7.1,G&#252;gercino&#287;lu+22 [ggyz22],False
B2113+14,47989.0,0.26,8.0,Espinoza+2011 [elsk11],False
B2113+14,58627.0,0.4,1.9,New - Our measurement,True
B2217+47,55857.4,1.16,0.4,Basu+2021 [bsa+21],False
B2224+65,43072.0,1707.0,3.0,Backus+1982 [btd82],False
B2224+65,51900.0,0.14,-2.9,Janssen+2006 [js06],False
B2224+65,52950.0,0.08,-1.4,Janssen+2006 [js06],False
B2224+65,53434.0,0.2,nan,Janssen+2006 [js06],False
B2224+65,54266.0,0.4,-0.8,Yuan+2010 [ywml10],False
B2224+65,60280.0,3764.18,7.85,New - Our measurement,True
J2229+6114,53064.0,1139.3,12.5,Espinoza+2011 [elsk11],False
J2229+6114,54110.0,327.0,-3.0,Espinoza+2011 [elsk11],False
J2229+6114,54781.54,4.5,0.1,Espinoza+2011 [elsk11]; also in G&#252;gercino&#287;lu+22 [ggyz22],False
J2229+6114,55134.0,198.4,6.3,Basu+2021 [bsa+21]; also in G&#252;gercino&#287;lu+22 [ggyz22],False
J2229+6114,55601.0,1223.6,13.0,Basu+2021 [bsa+21]; also in G&#252;gercino&#287;lu+22 [ggyz22],False
J2229+6114,56362.0,66.0,3.2,Basu+2021 [bsa+21]; also in G&#252;gercino&#287;lu+22 [ggyz22],False
J2229+6114,56797.0,850.0,11.3,G&#252;gercino&#287;lu+22 [ggyz22],False
J2229+6114,58424.0,1047.1,12.4,Basu+2021 [bsa+21]; also in G&#252;gercino&#287;lu+22 [ggyz22],False
J2229+6114,59262.0,283.9,6.5,New - Our measurement ; also in G&#252;gercino&#287;lu+22 [ggyz22],True
B2255+58,49488.2,0.75,1.0,"Espinoza et al. (2011) [elsk11], also in Krawczyk et al. (2003) [klgj03]",False
1E_2259+586,52443.9,4104.0,1111.0,Kaspi+2003 [kgw+03],False
1E_2259+586,53750.0,30.8,nan,Icdem+2012 [ibi12],False
1E_2259+586,54040.0,11167.0,nan,Icdem+2012 [ibi12],False
1E_2259+586,54184.9032,880.0,nan,"Dib+2014 [dk14], also in Icdem+2012 [ibi12]",False
1E_2259+586,54880.0,-14.0,-29.3,Icdem+2012 [ibi12],False
B2323+63,53957.0,0.21,-0.32,Basu+2021 [bsa+21],False
B2334+61,53642.0,20470.0,23.8,"Espinoza+2011 [elsk11], also in Yuan+2010 [ymw+10]",False
J2346-0609,57495.0,0.55,2.4,Basu+2021 [bsa+21],False
M82-X2,56685.8,20000.0,nan,Bachetti+2019 [bmb+19],False
