jname,mjd,size,dnudot,refs,is_new
J0537-6910,55587.0,87.0,1.0,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,55615.0,453.0,0.2,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,55786.1,14.0,-0.2,Antonopoulou+2018 [aeka18],False
J0537-6910,55819.0,346.0,0.9,Antonopoulou+2018 [aeka18] Also in Ferdman+2018 [fagk18],False
J0537-6910,58083.0,260.51,0.75,Ho+2020 [hea+20],False
J0537-6910,58152.0,581.94,0.8,Ho+2020 [hea+20],False
J0537-6910,58363.0,126.5,1.2,Ho+2020 [hea+20],False
J0537-6910,58424.0,409.0,1.0,Ho+2020 [hea+20],False
J0537-6910,58566.0,148.7,0.45,Ho+2020 [hea+20],False
J0537-6910,58637.0,435.92,0.43,Ho+2020 [hea+20],False
J0537-6910,58807.0,122.3,1.1,Ho+2020 [hea+20],False
J0537-6910,58868.0,387.84,1.14,Abbott+2021 [aaa+21],False
J0537-6910,58993.0,6.639,0.13,Abbott+2021 [aaa+21],False
J0537-6910,59049.0,136.59,0.671,Abbott+2021 [aaa+21],False
J0537-6910,59103.0,546.81,0.681,Ho+2022 [hke+22],False
J0537-6910,59285.0,127.17,0.47,Ho+2022 [hke+22],False
J0537-6910,59351.0,198.25,0.395,Ho+2022 [hke+22],False
J0537-6910,59454.0,268.24,0.856,Ho+2022 [hke+22],False
J0537-6910,59522.0,356.67,0.305,New - also in Ho+2022 [hke+22],True
J0537-6910,59692.0,94.272,0.43,New,True
J0537-6910,59741.0,249.46,0.641,New,True
J0537-6910,59886.0,393.84,0.886,New,True
J0537-6910,60028.0,549.77,0.5,New,True
J0537-6910,60223.0,341.38,0.525,New,True
B0540-69,51335.0,1.4,0.133,Livingstone+2005 [lkg05],False
B0559-05,51665.2,0.2,-0.7,Espinoza+2011 [elsk11],False
B0559-05,54347.0,0.05,0.2,Basu+2021 [bsa+21],False
J0611+1436,55818.0,5575.4,nan,Basu+2021 [bsa+21],False
J0625+10,55203.0,0.33,nan,Basu+2021 [bsa+21],False
J0625+10,57676.0,1.17,0.9,Basu+2021 [bsa+21],False
J0625+10,58488.0,767.35,3.15,New - Our measurement,True
J0613-0200,50888.0,0.0025,0.16,McKee+2016 [mjs+16],False
J0631+1036,50183.5,4.7,-0.7,Espinoza+2011 [elsk11],False
J0631+1036,50480.1,4.2,0.1,Espinoza+2011 [elsk11],False
J0631+1036,50608.277,57.3,1.2,Espinoza+2011 [elsk11],False
J0631+1036,50729.0,1662.7,3.5,Espinoza+2011 [elsk11],False
J0631+1036,51909.7,1.4,0.26,Espinoza+2011 [elsk11],False
J0631+1036,52852.5,17.6,2.48,"Espinoza+2011 [elsk11], also in Yuan+2010 [ywml10]",False
J0631+1036,53230.1,1.6,0.4,"Espinoza+2011 [elsk11], also in Yuan+2010 [ywml10]",False
J0631+1036,53366.0,1.9,0.3,Espinoza+2011 [elsk11],False
J0631+1036,53622.6,1.1,0.2,Espinoza+2011 [elsk11],False
J0631+1036,54099.0,0.4,-0.2,Espinoza+2011 [elsk11],False
J0631+1036,54170.4,1.6,-0.1,"Espinoza+2011 [elsk11], also in Yuan+2010 [ywml10]",False
J0631+1036,54632.53,43.2,3.3,Espinoza+2011 [elsk11],False
J0631+1036,55119.35,9.4,0.2,Basu+2021 [bsa+21],False
J0631+1036,55276.7,7.5,nan,Basu+2021 [bsa+21],False
J0631+1036,55702.0,3277.9,2.7,Basu+2021 [bsa+21],False
J0631+1036,58341.7,27.8,nan,Basu+2021 [bsa+21],False
J0631+1036,58352.13,96.4,1.3,Basu+2021 [bsa+21]; also in Lower+2021 [ljd+21],False
J0633+1746,50382.0,0.6,nan,Jackson+2002 [jhgm02],False
B0656+14,50197.0,0.6,0.3,Espinoza+2011 [elsk11],False
B0656+14,51017.0,1.3,2.0,Espinoza+2011 [elsk11],False
J0726-2612,56913.0,2.8,-0.6,New - Our measurement,True
J0726-2612,58791.0,510.0,1.7,New - Our measurement,True
B0727-18,51422.0,1.0,-2.0,Espinoza+2011 [elsk11],False
B0727-18,52150.0,4.0,6.0,Espinoza+2011 [elsk11],False
J0729-1448,52010.0,24.8,1.6,Espinoza+2011 [elsk11],False
J0729-1448,54317.7,23.0,4.0,"Espinoza+2011 [elsk11], also in Yu+2012 [ymh+12]",False
J0729-1448,54483.6,13.0,1.0,"Espinoza+2011 [elsk11], also in Yu+2012 [ymh+12]",False
J0729-1448,54592.0,12.0,-2.0,"Espinoza+2011 [elsk11], also in Yu+2012 [ymh+12]",False
J0729-1448,54687.0,6676.0,54.0,"Espinoza+2011 [elsk11], also in Weltevrede+2010 [wjm+10], Yu+2012 [ymh+12]",False
J0729-1448,58266.6,3.8,nan,Basu+2019 [bkj+19],False
J0738-4042,57359.0,0.36,3.0,Zhou+22 [zgy+22],False
B0740-28,47625.0,1.2,-0.8,"Espinoza+2011 [elsk11], also in D’Alessandro+1993 [dmk+93]",False
B0740-28,48331.7,1.2,-1.0,"Espinoza+2011 [elsk11], also in D’Alessandro+1993 [dmk+93]",False
B0740-28,51770.0,1.0,0.9,Janssen+2006 [js06],False
B0740-28,52028.0,3.7,4.0,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06]",False
B0740-28,53083.0,1.7,-1.0,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06]",False
B0740-28,53467.7,1.8,4.6,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06]",False
B0740-28,55020.469,92.0,-372.0,"Espinoza+2011 [elsk11], also in Yu+2012 [ymh+12]",False
B0740-28,56725.2,2.4,-1.1,Basu+2021 [bsa+21]; also Basu+2019 [bkj+19],False
B0740-28,59839.4,4304.2,nan,Shaw+2022 [sms+22]; also in Zubieta+2024 [zgp+24] and Grover+2024 [gjs+24],False
B0756-15,49963.0,0.11,2.0,Espinoza+2011 [elsk11],False
B0818-13,49927.0,0.035,0.159,Basu+2021 [bsa+21],False
B0818-13,58063.0,0.082,0.14,Basu+2021 [bsa+21],False
B0833-45,40280.0,2340.0,10.0,Downs (1981) [dow81],False
B0833-45,41192.0,2050.0,15.0,Downs (1981) [dow81],False
B0833-45,41312.0,12.0,3.0,Cordes+1988 [cdk88],False
B0833-45,42683.0,1990.0,11.0,Downs (1981) [dow81],False
B0833-45,43693.0,3060.0,18.0,Downs (1981) [dow81],False
B0833-45,44888.4,1145.0,49.0,Cordes+1988 [cdk88],False
B0833-45,45192.0,2050.0,23.0,Cordes+1988 [cdk88],False
B0833-45,46257.228,1601.0,17.0,McCulloch+1987 [mkhr87],False
B0833-45,47519.8036,1805.0,77.0,McCulloch+1987 [mkhr87],False
B0833-45,48457.382,2715.0,600.0,Flanagan (1991) [fla91],False
B0833-45,48550.0,5.55,1.053,Espinoza+2021 [ead+21],False
B0833-45,49559.0,835.0,0.0,Flanagan+1994 [fm94],False
B0833-45,49591.2,199.0,120.0,Flanagan (1994) [fla94],False
B0833-45,50369.345,2110.0,5.95,"Wang+2000 [wmp+00], also in Yu+2012 [ymh+12]",False
B0833-45,51457.0,38.0,3.66,Espinoza+2021 [ead+21],False
B0833-45,51559.319,3085.72,6.736,"Dodson+2002 [dml02], also in Yu+2012 [ymh+12]",False
B0833-45,53193.0,2100.0,nan,"Dodson+2004 [dbr+04], also in Yu+2012 [ymh+12]",False
B0833-45,53960.0,2620.0,230.0,"Flanagan+2006 [fb06], also in Yu+2012 [ymh+12]",False
B0833-45,55408.8,1940.0,75.0,Buchner (2010) [buc10]; also in G&#252;gercino&#287;lu+22 [ggyz22],False
B0833-45,56556.0,3100.0,148.0,Buchner(2013) [buc13]; also in G&#252;gercino&#287;lu+22 [ggyz22],False
B0833-45,56922.0,0.4,0.1,Jankowski+2015 [jbb+15],False
B0833-45,57734.4849906,1431.0,nan,Palfreyman+2018; also Basu+2019 [bkj+19]; also in G&#252;gercino&#287;lu+22 [ggyz22],False
B0833-45,58515.5929,2501.2,8.69,Kerr (2019) [kerr19]; also in Lower+2020 [lbs+20]; also in G&#252;gercino&#287;lu+22 [ggyz22] and Grover+2024 [gjs+24],False
B0833-45,59417.2108,1260.0,nan,Sosa-Fiscella+2021 [szp+21]; also in Zubieta+2024 [zgp+24] and Grover+2024 [gjs+24],False
B0833-45,59479.0,0.2,0.13,Zubieta+2024 [zgp+24],False
B0833-45,60429.9,2396.0,23.0,Grover+2025 [ggj+25],False
J0834-4159,53415.0,102.7,0.26,Yu+2012 [ymh+12],False
B0844-35,55679.0,0.62,3.0,Basu+2021 [bsa+21],False
B0853-33,54521.0,0.06,0.03,New - Our measurement,True
J0901-4624,57179.0,0.9,0.02,Lower+2021 [ljd+21],False
J0905-5127,49552.0,13.6,-1.8,Yu+2012 [ymh+12],False
J0905-5127,52931.0,8.3,1.2,Yu+2012 [ymh+12],False
B0919+06,55152.0,1256.2,0.1,Basu+2021 [bsa+21],False
J0940-5428,55346.0,1573.9,11.0,Lower+2021 [ljd+21],False
J0940-5428,58322.0,1100.5,4.0,Lower+2021 [ljd+21],False
J1016-5857,52549.0,1622.6,3.7,Yu+2012 [ymh+12],False
J1016-5857,55041.0,1912.0,4.4,Yu+2012 [ymh+12],False
J1016-5857,55595.0,1464.4,4.0,Lower+2021 [ljd+21],False
J1016-5857,56975.0,6.21,nan,Lower+2021 [ljd+21],False
J1019-5749,55595.0,1.33,0.12,Lower+2021 [ljd+21],False
J1019-5749,55981.0,377.8,0.51,Lower+2021 [ljd+21],False
J1019-5749,59182.0,8.3,nan,Keith+2024 [kjk+24],False
J1019-5749,59265.0,398.3,nan,Keith+2024 [kjk+24],False
J1023-5746,55043.0,3570.0,10.62,G&#252;gercino&#287;lu+22 [ggyz22]; also in Belfore+2011 [3rd Fermi symp.],False
J1023-5746,56004.0,2822.0,12.6,G&#252;gercino&#287;lu+22 [ggyz22],False
J1023-5746,56647.0,3306.0,11.0,G&#252;gercino&#287;lu+22 [ggyz22],False
J1023-5746,57192.0,22.0,-1.74,G&#252;gercino&#287;lu+22 [ggyz22],False
J1023-5746,57727.0,3784.9,14.82,G&#252;gercino&#287;lu+22 [ggyz22],False
J1023-5746,58202.0,2729.0,5.2,G&#252;gercino&#287;lu+22 [ggyz22],False
J1023-5746,58823.0,1681.0,6.77,G&#252;gercino&#287;lu+22 [ggyz22],False
J1028-5819,57881.0,2296.5,35.0,Lower+2021 [ljd+21]; also in Liu+24 [lyg+24],False
B1046-58,48944.0,19.0,0.3,"Wang+2000 [wmp+00], also in Yu+2012 [ymh+12]",False
B1046-58,49034.0,3000.0,3.7,"Wang+2000 [wmp+00], also in Yu+2012 [ymh+12]",False
B1046-58,50791.49,768.0,14.0,"Urama (2002) [ura02], also in Yu+2012 [ymh+12]",False
B1046-58,52733.0,1838.4,3.7,Yu+2012 [ymh+12],False
B1046-58,53673.0,28.5,0.2,Yu+2012 [ymh+12],False
B1046-58,54495.0,3043.1,4.77,"Weltevrede+2010 [wjm+10], also in Yu+2012 [ymh+12] and Lower+2021 [ljd+21]",False
B1046-58,56756.0,2963.0,9.0,Lower+2021 [ljd+21],False
B1046-58,59203.9,8.89,nan,Zubieta+2023 [zmf+23],False
B1046-58,59540.0,9.9,nan,Zubieta+2023 [zmf+23],False
B1046-58,59732.0,0.91,0.009,Zubieta+2024 [zgp+24],False
B1046-58,60090.0,4.5,1.01,Zubieta+2024 [zgp+24],False
B1046-58,60406.6,4078.0,11.0,Zubieta+2024 [zgp+24],False
1E_1048.1-5937,52386.0,2900.0,76.0,Dib+2008 [dkg08b],False
1E_1048.1-5937,54185.9,16300.0,-111.0,Dib+2008 [dkg08b],False
J1052-5954,54526.0,6747.8,14.1,"Weltevrede+2010 [wjm+10], also in Yu+2012 [ymh+12]",False
J1055-6028,57035.0,105.7,1.3,Lower+2021 [ljd+21],False
J1105-6107,50417.0,279.7,4.63,"Wang+2000 [wmp+00], also in Yu+2012 [ymh+12]",False
J1105-6107,50610.0,2.0,0.19,Wang+2000 [wmp+00],False
J1105-6107,51598.0,971.7,0.1,Yu+2012 [ymh+12],False
J1105-6107,54711.0,23.0,0.0,"Weltevrede+2010 [wjm+10], also in Yu+2012 [ymh+12]",False
J1105-6107,55288.0,954.4,nan,Yu+2012 [ymh+12],False
J1112-6103,51395.0,1825.0,4.7,Yu+2012 [ymh+12],False
J1112-6103,53337.0,1202.0,7.0,Yu+2012 [ymh+12],False
J1112-6103,55288.0,1793.0,6.0,Lower+2021 [ljd+21],False
J1112-6103,57922.0,1283.0,4.9,Lower+2021 [ljd+21],False
J1119-6127,51398.0,4.4,0.04,"Camilo+2004 [ckl+00], also in Yu+2012 [ymh+12]",False
J1119-6127,53290.0,321.0,6.0,"Weltevrede+2011 [wje11], also in Yu+2012 [ymh+12]",False
J1119-6127,54240.0,5419.0,197.8,"Weltevrede+2011 [wje11], also in Yu+2012 [ymh+12]",False
J1119-6127,57597.5,5790.0,nan,Archibald+2016 (ATel),False
J1123-6259,49705.87,749.0,1.0,Wang+2000 [wmp+00],False
J1124-5916,55191.0,16.0,4.73,Ray+2011 [rkp+11],False
J1141-3322,50521.31,0.4,-4.0,Espinoza+2011 [elsk11],False
J1248-6344,56043.0,1.7,nan,Lower+2021 [ljd+21],False
B1254-10,58645.0,3.017,nan,New - Our measurement,True
B1259-63,50691.0,3.2,2.5,Wang+2004 [wjm04],False
J1301-6305,51923.0,4630.0,8.6,Yu+2012 [ymh+12],False
J1301-6305,53383.0,2664.0,3.9,Yu+2012 [ymh+12],False
J1301-6305,55124.0,4169.0,5.8,Lower+2021 [ljd+21],False
J1301-6305,57718.0,658.0,6.0,Lower+2021 [ljd+21],False
J1320-5359,56354.0,10.5,0.2,Lower+2021 [ljd+21],False
J1320-5359,56737.0,246.8,0.08,Lower+2021 [ljd+21],False
