name,gaia_id,epoch,ra_prop,dec_prop,epoch_mjd,band_mhz,i_mjy,e_i,v_mjy,e_v,n_products,note
CNS5  732,4752399493622045696,mid2,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 2533,625453654702751872,mid1,nan,nan,nan,nan,nan,nan,nan,nan,2,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 2533,625453654702751872,mid2,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 5309,6562924609150908416,mid1,nan,nan,nan,nan,nan,nan,nan,nan,6,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 5309,6562924609150908416,mid2,nan,nan,nan,nan,nan,nan,nan,nan,6,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 4348,5955305209191546112,mid1,nan,nan,nan,nan,nan,nan,nan,nan,6,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 4348,5955305209191546112,mid2,nan,nan,nan,nan,nan,nan,nan,nan,6,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 1052,3195919254111314816,mid1,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 1052,3195919254111314816,mid2,nan,nan,nan,nan,nan,nan,nan,nan,2,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 2209,660597997697274752,mid1,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 2209,660597997697274752,mid2,nan,nan,nan,nan,nan,nan,nan,nan,8,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 2210,660597997696173440,mid1,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 2210,660597997696173440,mid2,nan,nan,nan,nan,nan,nan,nan,nan,8,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 1492,3316364602541746048,mid1,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 1492,3316364602541746048,mid2,nan,nan,nan,nan,nan,nan,nan,nan,6,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 2055,5278042880077383040,mid1,nan,nan,nan,nan,nan,nan,nan,nan,2,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 2055,5278042880077383040,mid2,nan,nan,nan,nan,nan,nan,nan,nan,4,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 3863,5985290231327158144,mid1,nan,nan,nan,nan,nan,nan,nan,nan,2,FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('Credentials must be supplied to download CASDA image data')
CNS5 3863,5985290231327158144,mid2,235.202819,-51.028902,60630.20155,1367.5,0.3617,0.1854,-0.1371,0.1799,4,offset_arcsec=11.49
CNS5 1257,3187115498866675456,mid1,75.486029,-6.949332,59223.61115,1367.5,0.4955,0.2080,0.0579,0.1984,4,offset_arcsec=10.84
CNS5 1257,3187115498866675456,mid2,75.485423,-6.949915,60658.68028,1367.5,0.3070,0.3102,0.7489,0.2967,4,offset_arcsec=9.26
CNS5 3403,3741297293732404352,mid1,206.443119,14.883031,59214.99318,1367.5,0.6345,0.1810,0.1305,0.1489,4,offset_arcsec=9.89
CNS5 3403,3741297293732404352,mid2,206.445112,14.881453,60641.02489,1367.5,nan,nan,nan,nan,4,offset_arcsec=nan
CNS5 1713,939072613334579328,mid1,103.698920,33.265854,59217.62832,1367.5,0.2464,0.1893,0.2329,0.1619,2,offset_arcsec=9.20
CNS5 1713,939072613334579328,mid2,103.698003,33.265434,60604.90134,1367.5,0.4671,0.1847,0.1084,0.1693,4,offset_arcsec=10.72
CNS5 5161,6882963066420161664,mid1,313.135680,-16.974507,59230.22595,1367.5,0.4660,0.1570,0.0290,0.1356,4,offset_arcsec=8.02
