ra,dec,imag,z,has_cutout,has_control,detected_excluded
177.98340,25.78893,18.49,0.621,1,1,0
177.98826,26.67280,20.11,1.160,1,1,0
177.99296,25.11872,21.64,2.893,1,1,0
178.00008,23.14222,18.34,2.737,1,1,0
178.00542,24.01386,19.06,2.395,1,0,1
178.00555,24.01787,21.01,2.466,1,1,0
178.00579,27.29506,20.10,2.244,1,1,0
178.00945,23.08476,20.49,1.796,1,1,0
178.01604,25.46155,20.61,2.297,1,1,0
178.01790,26.67968,19.40,2.807,1,1,0
178.01794,24.04089,20.54,2.365,1,1,0
178.01969,22.64031,18.76,1.364,1,1,0
178.02312,23.76481,19.35,0.454,1,1,0
178.02827,26.65576,18.65,0.472,1,1,0
178.02899,26.69493,19.75,0.649,1,1,0
178.03408,24.01747,18.76,1.859,1,1,0
178.04065,24.36867,21.63,2.107,1,1,0
178.04171,25.13254,21.52,2.964,1,1,0
178.04333,25.35661,19.31,2.207,1,1,0
178.05050,25.42252,19.28,2.842,1,1,0
178.05548,24.41745,20.46,2.428,1,1,0
178.07550,23.05028,17.72,1.468,1,1,0
178.07688,23.07762,18.92,1.138,1,1,0
178.08212,23.95608,21.04,2.537,1,1,0
178.08661,25.94157,20.54,1.520,1,1,0
178.09077,24.42998,19.88,2.847,1,1,0
178.09103,27.26135,21.56,3.084,1,1,1
178.09685,25.37486,21.06,2.713,1,1,0
178.09699,24.98359,20.78,3.235,1,1,0
178.11222,23.50647,19.26,1.350,1,1,0
178.11470,24.19640,21.64,1.523,1,1,0
178.11558,25.60167,21.08,2.304,1,1,0
178.12338,25.78435,20.19,2.606,1,1,0
178.13006,22.61608,18.49,1.347,1,1,0
178.14184,25.93119,20.21,0.813,1,1,0
178.15108,24.73043,20.97,2.297,1,1,0
178.15243,23.99856,19.95,3.031,1,1,0
178.15844,23.55943,18.01,1.803,1,1,1
178.16697,25.78324,20.23,3.001,1,1,0
178.18049,23.74985,19.09,2.086,1,1,0
178.20233,23.87116,19.69,0.994,1,1,0
178.21185,26.02382,19.79,1.650,1,1,0
178.21272,24.99806,20.61,2.305,1,1,0
178.22733,26.13707,19.08,1.694,1,1,0
178.22816,23.14691,22.23,2.992,1,1,0
178.23352,24.46927,20.62,3.071,1,1,0
178.25498,25.07373,20.13,1.976,1,1,0
178.25570,25.17511,18.68,1.397,1,1,0
178.26904,22.96865,21.36,2.332,1,1,0
178.27168,25.70399,20.33,2.236,1,1,1
178.27297,27.56311,18.32,0.545,1,1,0
178.27337,27.06331,20.61,4.146,1,1,0
178.27353,24.68474,19.82,2.619,1,1,0
178.27795,22.60823,17.47,0.210,1,1,0
178.27862,25.01390,19.79,2.583,1,0,0
178.28248,25.63987,19.17,1.276,1,1,0
178.30020,27.52496,19.37,1.833,1,1,0
178.31288,25.24449,19.65,1.038,1,1,0
178.32156,24.49954,21.00,2.295,1,1,0
178.32367,23.47694,18.24,1.922,1,1,0
178.32531,23.68709,19.47,0.990,1,1,1
178.32935,26.78823,18.93,1.030,1,1,0
178.33237,26.23465,19.12,0.907,1,1,0
178.33258,25.27705,19.80,1.044,1,1,0
178.34655,26.21054,20.27,2.513,1,1,0
178.34687,26.31140,19.29,1.723,1,1,0
178.34747,22.44326,21.87,2.523,1,1,0
178.35041,22.41320,20.76,1.035,1,1,0
178.35503,25.80297,21.57,2.270,1,1,0
178.35639,24.43154,21.54,0.754,1,1,0
178.35807,25.26985,19.66,1.035,1,1,0
178.36419,24.54347,20.13,3.166,1,1,0
178.36554,25.38424,20.09,2.302,1,1,0
178.36756,23.26397,20.18,1.122,1,1,0
178.37296,24.50256,21.59,2.306,1,1,0
178.37950,26.12739,19.62,2.539,1,1,0
178.38518,27.25974,19.68,1.061,1,1,0
178.38629,25.10401,20.42,3.126,1,1,0
178.38640,26.55145,20.95,2.263,1,1,0
178.38841,26.94450,18.18,2.063,1,1,0
178.39823,27.06260,19.09,0.701,1,1,0
178.40079,26.81485,21.59,2.553,1,1,0
178.41072,25.42232,20.92,2.438,1,1,0
178.41397,27.02837,20.78,0.760,1,1,0
178.41444,25.66481,20.88,0.510,1,1,0
178.41484,26.08170,19.32,1.732,1,1,0
178.42129,23.48234,18.21,3.049,1,1,0
178.42397,23.75177,19.85,1.398,1,1,0
178.42692,25.29402,21.32,2.385,1,1,0
178.43095,24.28105,20.27,2.344,1,1,0
178.43383,27.26836,19.88,1.883,1,1,0
178.43387,24.25848,20.33,2.075,1,1,0
178.43505,23.39987,19.84,2.071,1,1,0
178.43580,26.07500,18.88,1.014,1,1,0
178.44332,24.30818,18.81,0.752,1,1,0
178.45465,23.84918,20.89,2.285,1,1,0
178.46723,23.61664,19.50,1.041,1,1,0
178.46785,23.42696,20.79,1.689,1,1,0
178.47715,22.55809,18.73,1.712,1,1,1
178.47978,25.65970,19.49,1.978,1,1,0
178.48279,27.21348,20.16,2.018,1,1,0
178.48819,26.41879,21.55,2.193,1,1,0
178.49078,25.84946,21.80,2.261,1,1,0
178.49191,25.89949,20.59,2.443,1,1,0
178.49327,23.51147,19.78,1.775,1,1,0
178.49731,23.89944,19.27,2.943,1,1,0
178.50378,23.84529,20.13,0.826,1,1,0
178.50436,24.42571,21.51,2.625,1,1,0
178.51071,24.40008,19.37,1.560,1,1,0
178.52033,23.67710,18.79,1.156,1,1,0
178.52338,22.90389,18.73,1.095,1,1,0
178.52564,23.56464,20.74,3.059,1,1,0
178.52795,24.90313,18.68,0.377,1,1,0
178.53309,25.36259,17.67,0.337,1,1,0
178.54522,26.64192,19.62,1.334,1,1,0
178.54600,24.46307,19.49,0.474,1,1,0
