# GLEAM-X DR2 x RACS @ (30.0,-30.0) r=3.0deg
ra,dec,cls,nu_pk_mhz,alpha_lo,alpha_lo_err,alpha_hi,chi2_red,n_fit_points
29.36277,-27.96214,steep,,-0.726,0.149,-0.992,1.12,21
28.75969,-27.71253,steep,10326256.8,-0.868,0.066,-1.214,2.93,22
28.99871,-28.64673,steep,38736.7,-0.852,0.021,-0.832,1.19,22
30.23415,-27.85577,peaked,400.7,1.272,0.030,-1.433,4.18,22
27.26028,-31.37049,steep,25825.4,-0.796,0.136,-0.862,2.07,20
28.54080,-28.69163,flat,742.0,-1.360,0.111,-0.185,3.26,21
31.03349,-27.79000,nan,146755.5,-0.707,0.334,,0.67,13
30.12911,-28.15731,flat,1136.1,-0.846,0.060,-0.026,1.22,22
32.27651,-31.07278,steep,0.1,-0.884,0.094,-2.012,4.24,22
32.47886,-31.06018,nan,224.2,-0.748,0.625,,0.76,11
31.33668,-29.35424,steep,143.9,-0.727,0.449,-0.544,1.07,15
27.88186,-30.80043,steep,44.5,-1.015,0.465,-1.482,1.87,8
29.45404,-30.92598,steep,2237038.9,-1.037,0.017,-1.009,0.69,22
32.67482,-29.09861,steep,44985.9,-0.853,0.094,-1.068,1.00,22
30.77334,-28.77492,steep,125.7,-0.669,0.401,-1.704,1.06,15
30.12346,-27.25761,steep,,-0.985,0.039,-1.469,2.04,22
29.12944,-27.15820,steep,25757.5,-1.206,0.209,-0.711,0.99,16
29.29910,-32.18304,nan,0.0,-0.830,0.207,,0.49,17
29.31160,-32.91199,steep,,-0.701,0.005,-0.800,11.99,22
32.42052,-29.02413,steep,,-0.709,0.037,-0.956,1.74,22
27.47132,-29.54913,flat,203.4,0.025,0.156,-1.327,0.73,18
29.26592,-29.97239,steep,130.8,-0.784,0.250,-1.748,1.51,18
32.01706,-31.66256,steep,,-1.079,0.007,-1.922,5.28,22
31.41912,-28.00640,steep,368846.4,-1.056,0.062,-1.488,1.78,22
29.93071,-27.67742,flat,7755.8,-0.498,0.010,-0.628,3.39,22
28.01720,-28.85566,flat,4750.7,-0.537,0.291,-0.184,1.00,16
30.98182,-28.02699,nan,10.8,-1.492,0.300,,5.67,8
33.02136,-28.92769,nan,,,,-0.932,,3
28.71150,-32.49637,flat,,-0.613,0.098,-0.260,0.89,22
30.05622,-27.77050,steep,72335.2,-1.033,0.120,-0.618,1.36,22
33.18338,-29.95024,steep,216851.3,-1.865,0.388,-0.993,1.18,15
30.98031,-31.05242,flat,262571748.9,-0.597,0.123,-0.458,0.75,22
30.43609,-27.88397,steep,2053.2,-0.668,0.090,-0.673,1.39,22
32.20119,-29.03935,steep,15.1,-0.933,0.594,-1.233,4.08,8
30.19585,-31.98926,steep,,-0.633,0.019,-0.812,1.76,22
29.57565,-28.09808,flat,181.7,0.008,0.159,-1.044,1.73,19
30.63020,-29.62608,steep,,-1.048,0.004,-1.221,8.77,22
