# GLEAM-X DR2 x RACS @ (30.0,-30.0) r=3.0deg
ra,dec,cls,nu_pk_mhz,alpha_lo,alpha_lo_err,alpha_hi,chi2_red,n_fit_points
29.85773,-30.07639,nan,132938098.1,-0.883,0.148,,0.86,20
30.17200,-28.63309,flat,2166.8,-1.070,0.326,-0.189,0.70,14
33.36028,-30.58642,steep,,-0.681,0.029,-0.842,2.11,22
29.17044,-32.73871,nan,2917.4,-0.705,0.058,,2.30,21
32.24181,-32.10109,steep,,-0.830,0.074,-1.206,1.24,22
29.80152,-30.47320,steep,,-0.976,0.011,-1.234,1.93,22
31.30785,-29.07800,steep,94514.5,-1.244,0.176,-0.939,1.03,21
27.98992,-30.53432,steep,24650.2,-0.914,0.016,-0.714,1.62,22
30.53271,-29.25961,steep,,-0.950,0.085,-2.408,4.70,22
32.36815,-29.26363,steep,0.0,-0.986,0.063,-1.953,1.81,22
30.75498,-29.15842,steep,,-1.063,0.083,-1.231,2.37,22
30.60220,-28.66808,nan,,-1.151,0.025,,2.65,20
32.25344,-31.63461,nan,65122.4,-1.204,0.123,,1.59,20
28.14518,-29.83583,steep,140339.7,-1.268,0.018,-0.534,2.48,22
27.81352,-32.11527,steep,50.0,-0.661,0.203,-1.400,2.37,19
29.31627,-32.86888,steep,72292.7,-0.999,0.083,-1.932,3.02,22
31.18368,-30.36529,steep,4444581.5,-0.592,0.178,-0.624,1.62,19
31.08859,-27.84069,nan,23.6,0.063,1.499,,0.13,6
27.72254,-30.50841,steep,21.1,-0.937,0.168,-2.091,4.43,20
29.49100,-32.53342,nan,0.0,-0.945,0.876,,0.36,6
31.74239,-31.83745,nan,1.4,-0.856,0.105,,2.58,21
32.11659,-32.21231,steep,19.0,-1.527,1.078,-0.879,2.26,7
29.80284,-28.99816,nan,18.5,,,-0.799,2.78,5
30.89272,-27.55508,steep,13009948.8,-0.862,0.016,-1.074,2.72,22
26.76040,-31.01886,steep,45.2,-0.571,0.257,-1.322,1.25,17
33.32484,-29.47077,steep,179381288.1,-0.868,0.160,-1.224,2.73,19
31.27392,-29.62948,steep,328088.7,-0.903,0.011,-1.666,4.91,22
31.36522,-31.49089,steep,,-0.825,0.007,-0.777,7.02,22
29.78398,-29.65983,nan,,,,-0.307,,3
30.75340,-29.24452,steep,1329709.4,-0.978,0.050,-1.234,2.41,22
27.12085,-28.90425,steep,1793.8,-0.873,0.111,-0.646,2.38,22
29.39675,-32.64422,steep,86.8,-0.961,0.447,-1.496,0.98,15
29.10070,-27.78348,nan,47.2,,,-0.650,0.06,4
27.64251,-29.28994,steep,7878.4,-0.961,0.007,-0.883,14.39,22
30.94231,-27.29593,steep,,-0.846,0.008,-1.192,1.70,22
31.29126,-29.33555,steep,39717.0,-0.998,0.054,-0.908,1.25,22
27.77335,-30.47878,steep,173.6,-0.707,0.276,-1.474,1.71,19
27.81613,-30.87361,nan,,,,-0.474,,3
31.28364,-27.52287,steep,,-0.892,0.166,-1.091,1.08,20
29.63994,-29.03620,steep,175463.0,-0.918,0.030,-0.993,2.39,22
31.80664,-28.96288,nan,,,,,,2
30.38716,-28.66795,peaked,124.5,2.527,2.948,-1.200,1.94,6
27.85312,-30.96138,steep,5156.8,-0.774,0.096,-0.903,1.71,22
27.86876,-32.12475,steep,10743.4,-1.382,0.268,-0.874,1.93,11
31.40308,-28.81683,steep,,-0.760,0.002,-0.864,29.38,22
32.10988,-30.73968,steep,,-0.767,0.045,-0.944,1.71,22
27.71484,-30.75953,nan,,,,-0.615,,3
30.61778,-28.78839,steep,15.8,-1.085,0.285,-1.262,1.42,16
31.17083,-30.53494,nan,85.4,-0.793,0.350,,0.84,12
31.72333,-30.78994,nan,,,,-0.475,,3
32.67367,-31.41921,nan,,,,,,3
32.35523,-31.60729,steep,,-0.714,0.008,-0.931,9.54,22
30.17829,-28.41546,inverted,548.8,-0.772,0.457,0.390,0.65,14
31.05544,-30.68433,steep,0.1,-0.671,0.002,-0.896,42.70,22
31.56834,-28.49553,steep,,-0.876,0.023,-1.391,2.30,22
29.88614,-28.50778,steep,52.9,-0.599,0.131,-1.993,2.45,22
32.83912,-28.65523,flat,71.3,-0.447,0.499,-1.217,1.60,11
30.88960,-31.77238,steep,14.5,-0.612,0.127,-1.171,1.56,22
30.05025,-30.89062,steep,,-0.784,0.000,-0.840,2476.49,22
32.79902,-28.29861,nan,,,,-1.372,,3
27.19302,-31.02418,steep,,-1.041,0.023,-1.515,1.49,22
29.54200,-27.28720,steep,665804990.0,-0.679,0.107,-1.117,1.71,22
27.64492,-28.31740,peaked,204.8,0.149,0.461,-0.714,1.17,13
31.19225,-27.69026,steep,22381.6,-0.717,0.189,-0.735,2.19,20
27.33504,-28.16964,steep,4450.8,-0.779,0.091,-0.539,1.24,22
28.85549,-29.07807,nan,953.6,-1.037,0.127,,0.91,20
31.72342,-30.22538,steep,,-0.914,0.008,-1.040,5.00,22
29.36321,-27.34042,steep,41.8,-0.562,0.115,-1.549,0.52,22
31.17305,-28.92742,steep,,-0.834,0.006,-0.979,8.94,22
30.88355,-28.16167,steep,23113.2,-1.007,0.038,-0.858,2.11,22
30.28870,-31.93439,steep,969222.4,-1.296,0.407,-0.711,2.35,8
28.88227,-28.78207,steep,30.3,-0.559,0.074,-1.669,3.61,22
26.79102,-29.12050,steep,0.0,-0.956,0.151,-1.449,1.89,21
28.06219,-27.86992,steep,16495897.7,-0.881,0.067,-1.301,1.42,22
32.93761,-30.34618,steep,38971499.4,-0.984,0.071,-1.380,1.21,22
31.17411,-32.70287,steep,26.6,-0.883,0.065,-4.607,18.11,22
30.84568,-30.84019,flat,101.1,-0.259,0.155,-0.922,2.25,20
30.64967,-27.54210,flat,,-0.416,0.015,-0.737,4.30,22
30.71229,-30.69768,flat,2694.1,-1.285,0.355,-0.404,1.12,13
33.07136,-28.68293,steep,13.1,-0.997,0.295,-1.134,1.78,16
29.94338,-28.70399,nan,,,,,,1
30.89194,-31.64797,uss,225.4,-1.246,0.552,-1.749,4.78,10
28.29732,-30.44396,nan,1096.1,,,,0.03,4
30.72366,-32.62232,nan,223753726.1,-0.802,0.032,,1.60,20
29.00758,-32.23550,flat,190.4,-0.459,0.303,-1.175,1.60,14
27.07119,-30.94843,nan,2632.8,-1.194,0.308,,0.19,13
29.48669,-27.22904,steep,,-1.090,0.005,-1.578,6.60,22
28.72779,-30.23159,steep,0.3,-0.580,0.167,-0.879,1.05,20
30.68390,-32.56990,steep,234.2,-1.350,1.546,-1.106,1.78,7
27.79378,-31.82382,nan,10160.8,-1.162,0.256,,0.57,12
32.22580,-32.30741,nan,46.4,-0.657,0.073,,4.29,21
26.73227,-30.13117,inverted,1890.4,0.554,2.456,0.297,0.14,7
31.15788,-29.41225,steep,0.1,-0.952,0.504,-0.826,0.28,10
29.09935,-31.13012,uss,59.7,-1.629,0.345,-1.632,5.19,10
29.06446,-29.52974,steep,,-1.032,0.126,-1.834,4.17,21
30.41997,-27.10195,nan,,,,-0.939,,3
31.71963,-31.10039,steep,54.4,-0.785,0.238,-1.758,1.61,18
27.34850,-28.59705,steep,950.1,-0.959,0.005,-0.920,111.74,22
28.57315,-29.10093,uss,,-1.254,0.003,-1.253,18.01,22
32.91188,-31.64291,steep,,-0.689,0.003,-0.902,20.50,22
30.52943,-29.83484,steep,943633.5,-0.911,0.034,-1.132,1.15,22
29.07972,-30.45489,flat,1801.8,-0.518,0.177,-0.120,0.90,20
31.25310,-28.16383,flat,8944.6,-0.896,0.338,-0.440,0.55,14
27.48072,-31.05303,steep,4.3,-0.684,0.313,-0.980,0.97,15
29.63431,-27.39771,nan,310.9,,,-0.751,4.65,4
28.38931,-31.92478,steep,,-0.819,0.026,-1.026,1.60,22
28.89570,-29.11650,flat,1373.8,-1.393,0.170,-0.467,1.07,18
31.62536,-28.61891,steep,1007068.5,-0.790,0.067,-1.084,1.60,22
27.51574,-28.23143,steep,0.0,-0.565,0.023,-0.963,0.89,22
26.81801,-30.67122,nan,0.1,-0.424,0.083,,1.69,20
32.20031,-28.37140,steep,2.3,-1.094,0.118,-2.621,4.87,22
28.70931,-30.91598,steep,33422865.3,-1.063,0.055,-2.914,7.48,22
28.77415,-29.99844,steep,189.9,-0.574,0.406,-2.381,1.80,11
32.39379,-30.74343,flat,88.4,-0.228,0.241,-0.802,0.99,19
28.19455,-29.15036,steep,17.5,-0.634,0.148,-1.603,2.19,21
30.01219,-31.67777,nan,565.6,,,0.148,0.46,4
30.44095,-30.07839,steep,,-0.744,0.142,-1.168,2.26,21
29.65703,-31.74983,steep,,-0.850,0.046,-2.051,2.81,22
27.06385,-29.55747,steep,39.4,-0.957,0.316,-1.115,1.06,17
29.17598,-31.54498,steep,34.9,-0.692,0.143,-2.268,7.70,21
33.40938,-29.81405,steep,35264.1,-1.284,0.272,-0.741,0.96,14
28.61955,-29.52622,steep,,-0.881,0.004,-1.152,8.14,22
31.21719,-29.92890,steep,709143.3,-0.890,0.027,-1.102,1.77,22
30.36775,-32.58017,flat,37.4,-0.253,0.080,-0.749,1.16,22
30.85863,-32.37116,nan,81094.1,-1.122,0.026,,0.86,20
29.43179,-27.43496,uss,8.4,-1.404,0.240,-1.738,4.02,15
27.62411,-32.00443,nan,1000.5,-0.878,0.241,,0.99,18
31.80977,-30.98953,nan,15890.4,-1.085,0.221,,0.40,15
28.62925,-31.47331,steep,6452.2,-0.863,0.015,-0.812,1.89,22
31.88940,-28.17766,flat,1538.6,-1.253,0.253,-0.269,0.82,16
28.32552,-28.28714,inverted,1668.3,-0.645,0.018,0.123,6.62,22
29.52974,-28.35712,steep,6952.6,-0.970,0.051,-0.889,2.77,22
33.42109,-29.70822,steep,12.4,-0.707,0.075,-1.312,1.54,22
27.89471,-31.68699,flat,481.6,-0.108,0.411,-0.682,1.00,14
32.08946,-29.71512,steep,230128.7,-0.742,0.123,-0.571,0.62,22
28.32858,-28.71527,steep,46826.1,-1.216,0.104,-0.603,1.50,22
27.84657,-28.42915,extended,344.4,0.940,1.497,-1.804,0.11,6
28.58342,-31.59210,flat,564.8,-0.615,0.199,-0.437,1.72,19
29.85891,-29.78227,steep,225388.9,-1.021,0.068,-1.597,2.66,22
29.93283,-27.48998,steep,33.8,-0.953,0.313,-0.974,1.97,17
26.90199,-29.14409,steep,28821.9,-1.077,0.014,-1.143,2.54,22
30.93837,-29.72680,nan,0.1,-0.823,0.027,,2.36,20
29.92115,-27.87017,steep,1.6,-0.588,0.068,-1.105,1.46,22
32.11969,-30.59554,steep,4193.9,-1.560,0.232,-0.906,3.71,9
32.04510,-28.07714,steep,1.8,-0.752,0.151,-1.208,1.42,20
28.92969,-31.45926,steep,63.7,-0.785,0.135,-3.079,8.70,22
26.74148,-30.09446,steep,,-0.763,0.010,-1.012,4.28,22
28.56330,-29.67381,steep,97.3,-0.624,0.639,-1.306,0.38,12
27.67107,-30.34771,steep,14485.0,-1.023,0.149,-0.896,1.67,21
30.03936,-28.22438,steep,,-0.863,0.030,-1.313,2.90,22
29.89256,-27.59367,steep,860.4,-1.622,0.069,-0.805,6.08,22
31.78912,-28.92608,nan,,,,-1.138,,3
31.23242,-27.77683,steep,127.6,-1.092,0.385,-1.731,1.25,14
29.80744,-29.40988,steep,,-0.575,0.004,-0.922,9.34,22
27.21127,-30.61960,nan,1041.3,-1.251,0.181,,0.98,18
29.18362,-32.89713,steep,1760.0,-0.881,0.040,-0.832,5.53,22
28.11946,-31.33404,steep,14013060.5,-0.974,0.037,-1.025,1.22,22
31.68021,-30.41613,peaked,1067.7,0.663,0.006,-0.362,11.27,22
27.60474,-31.85695,flat,9632.1,-1.001,0.087,-0.491,1.83,22
26.73726,-29.21235,flat,4604.0,-1.017,0.058,-0.367,3.75,22
31.44235,-31.35490,steep,12.7,-0.543,0.078,-2.054,3.28,22
32.55038,-29.39493,nan,,,,-3.921,,2
30.71189,-27.30812,flat,66.7,-0.412,0.006,-1.364,17.61,22
31.96368,-30.95135,steep,,-0.892,0.007,-1.047,6.67,22
31.21687,-29.81059,steep,8.5,-0.726,0.200,-1.151,0.81,20
31.21162,-31.67349,nan,16889.0,-0.934,0.086,,1.17,20
28.31208,-27.65918,flat,76.1,-0.335,0.117,-1.287,1.61,21
28.53916,-29.75653,flat,241.6,-0.406,0.380,-1.882,1.67,13
30.14243,-31.86497,flat,352231.5,-0.515,0.083,-0.435,2.06,22
30.51649,-28.75378,steep,0.1,-0.990,0.116,-1.624,2.44,22
31.20864,-29.99088,steep,56.6,-0.595,0.141,-1.698,1.09,21
29.47127,-32.00168,flat,86.6,-0.206,0.130,-0.844,0.82,20
31.09768,-27.62149,uss,8.1,-1.215,0.225,-1.761,2.57,17
31.91232,-30.99991,nan,706.7,-0.408,1.377,,0.58,5
31.74038,-32.24111,steep,,-0.699,0.070,-0.827,1.04,22
32.87746,-30.13409,steep,1764732.9,-0.986,0.056,-1.255,1.61,22
27.34015,-28.22475,steep,693727.1,-0.727,0.017,-1.014,2.46,22
28.29454,-31.44609,steep,113.0,-0.680,0.304,-1.306,1.68,16
32.01158,-28.98197,extended,106.8,0.545,1.081,-1.285,1.78,7
29.22594,-32.16424,steep,12872.2,-0.770,0.038,-0.818,2.25,22
28.53985,-31.57378,steep,41.5,-0.872,0.302,-1.314,0.85,15
27.79497,-28.31202,steep,,-0.781,0.048,-1.623,2.89,22
28.56363,-27.51115,steep,63456.1,-0.960,0.165,-0.795,1.66,20
28.97118,-28.00709,flat,4973.7,-0.895,0.192,-0.413,1.49,21
26.61634,-30.22152,nan,3598.4,-0.984,0.015,,15.82,20
31.99716,-30.99827,steep,,-0.973,0.142,-1.213,2.02,21
29.34466,-29.19791,steep,47951.3,-0.844,0.030,-0.667,1.61,22
31.81817,-31.68479,inverted,800.2,-0.957,0.383,0.189,0.89,13
28.72136,-27.59881,steep,933297.8,-1.012,0.016,-1.157,3.07,22
28.94041,-32.12475,nan,3339.7,-0.860,0.092,,1.85,21
29.93552,-30.28472,peaked,206.9,0.065,0.033,-0.572,1.03,22
27.65878,-31.73632,nan,15037.7,-0.899,0.047,,1.49,20
32.20841,-30.12809,steep,1052096.1,-0.934,0.030,-1.183,1.95,22
32.12013,-30.86103,flat,221.3,0.082,0.839,-1.676,2.79,10
27.24182,-29.97212,steep,1.2,-0.572,0.052,-1.162,1.92,22
32.73242,-28.72939,steep,0.1,-0.832,0.046,-0.807,1.58,22
31.71083,-28.80102,steep,11.9,-0.961,1.124,-0.865,1.01,9
32.48860,-30.98232,extended,54.3,2.182,1.769,-0.809,2.12,6
30.83988,-31.13702,steep,8441450.5,-0.586,0.110,-0.748,1.72,22
28.23257,-31.14722,steep,127033.3,-1.281,0.147,-1.089,2.94,21
30.91045,-31.49869,steep,9140.7,-0.713,0.055,-0.637,1.37,22
28.01149,-30.47899,steep,7474.8,-0.886,0.045,-0.813,1.78,22
28.16480,-29.97405,steep,2392.6,-1.440,0.151,-0.963,2.77,21
33.23042,-29.00688,nan,3975.1,-1.419,0.534,,0.45,8
32.23541,-30.58460,steep,10232.2,-0.841,0.038,-0.793,1.65,22
27.86682,-32.09318,steep,3956.4,-2.171,0.183,-1.133,6.12,14
31.67532,-31.34411,steep,,-1.151,0.290,-1.316,2.12,12
27.63166,-27.91529,steep,177.5,-0.721,0.262,-1.032,1.84,17
31.24683,-30.20885,flat,2887.8,-0.655,0.502,-0.121,2.36,10
28.40495,-28.14185,steep,,-0.825,0.149,-0.875,1.83,21
33.14100,-30.58628,steep,2.7,-1.101,0.126,-2.633,4.58,22
30.92114,-27.88347,flat,2287.0,-0.734,0.370,-0.160,0.43,15
31.95654,-28.61387,nan,,,,-0.937,,3
33.22814,-30.18407,nan,18581071.0,-0.970,0.010,,4.18,20
29.13516,-32.72946,nan,22202878.9,-0.888,0.119,,1.69,19
30.69304,-32.70947,flat,1301.1,-0.829,0.850,-0.076,1.26,10
31.09066,-29.67583,steep,94356.3,-0.833,0.175,-0.851,1.43,19
31.66691,-32.33827,nan,,,,-1.954,,3
27.92412,-28.49259,nan,695143.2,-0.954,0.025,,2.38,20
26.96111,-30.73146,inverted,954.2,1.697,3.028,0.316,3.32,6
30.81285,-31.94151,steep,,-0.695,0.009,-0.761,4.21,22
27.77556,-29.98163,steep,53.1,-0.719,0.270,-1.448,1.33,15
28.21711,-29.86844,uss,400.2,-1.238,3.450,-1.918,3.07,6
28.29596,-29.49409,steep,,-0.918,0.012,-1.273,1.92,22
29.69994,-31.21116,steep,41801.5,-1.005,0.037,-1.500,2.84,22
28.15175,-31.42872,steep,,-0.607,0.026,-0.923,3.86,22
28.62997,-30.67127,steep,,-0.924,0.002,-0.930,22.22,22
27.72191,-31.39009,steep,0.3,-0.572,0.003,-0.698,35.92,22
27.76034,-27.93064,nan,,,,-1.376,,3
32.51082,-29.17621,steep,,-0.904,0.005,-1.040,8.87,22
30.52873,-30.79786,steep,821615.7,-0.939,0.087,-1.245,2.25,22
31.81775,-29.92891,steep,0.0,-1.058,0.024,-0.967,1.34,22
33.22076,-29.80169,steep,287.5,-0.704,0.934,-1.905,0.77,6
31.42536,-30.82647,steep,,-1.148,0.018,-1.259,1.59,22
28.52242,-31.25884,flat,1482.5,-1.309,0.285,0.028,0.92,13
28.16561,-32.50953,nan,,,,-1.077,,3
28.86837,-28.19986,steep,247.7,-0.779,0.429,-1.963,6.50,14
32.74739,-28.62473,steep,,-0.523,0.031,-1.262,3.26,22
29.90127,-30.47369,steep,30264.0,-1.164,0.070,-1.331,2.57,22
30.51136,-28.94614,steep,6985.5,-0.830,0.127,-0.746,1.02,22
33.32330,-30.54761,flat,71.1,-0.434,0.128,-1.713,1.29,21
32.59845,-31.96438,steep,168490.5,-1.117,0.014,-1.090,2.06,22
31.58436,-28.95144,steep,,-0.751,0.022,-0.947,1.49,22
27.63315,-29.88233,nan,757.3,-0.759,0.051,,1.78,20
29.64569,-31.86316,steep,52.9,-0.645,0.340,-0.925,1.57,17
29.76400,-32.31073,steep,,-0.578,0.180,-0.590,1.12,20
29.90335,-29.26967,nan,4.4,0.645,1.065,,1.29,5
32.77697,-29.93908,steep,,-0.652,0.067,-1.019,1.70,22
30.75757,-27.93795,steep,2222.5,-1.888,0.161,-0.877,1.56,19
30.48990,-28.44125,steep,,-1.148,0.087,-2.523,4.62,21
27.37608,-28.64014,steep,0.0,-0.830,0.001,-1.086,294.78,22
27.12504,-31.69918,steep,27406.4,-1.111,0.301,-0.697,1.43,14
28.10121,-31.51915,steep,179.2,-0.679,0.392,-1.068,2.07,14
33.37577,-29.74289,steep,0.0,-0.914,0.009,-1.232,3.07,22
30.67245,-32.82154,steep,2600.0,-1.095,0.076,-1.127,3.06,22
26.67024,-30.63335,steep,72.9,-0.767,0.376,-1.038,0.62,14
31.92082,-29.65527,steep,,-0.824,0.029,-1.199,1.86,22
27.59398,-31.68295,steep,28.9,-0.745,0.165,-1.778,2.31,21
28.65093,-31.70919,steep,19794.7,-1.126,0.057,-1.226,2.12,22
29.15867,-29.78702,uss,18.9,-1.510,0.423,-1.579,1.50,8
30.14181,-27.36466,nan,,,,,,2
29.67018,-27.67488,steep,19169026.6,-0.749,0.079,-0.977,1.58,22
27.99517,-31.05672,steep,,-0.738,0.120,-0.523,1.89,22
28.56717,-30.42313,steep,23.7,-0.716,0.195,-1.382,1.81,20
29.92710,-29.33837,steep,16.7,-0.647,0.124,-1.538,1.90,22
30.56165,-32.76215,nan,6271.4,-0.910,0.047,,1.80,20
28.60271,-30.47134,steep,,-0.988,0.045,-1.496,2.93,22
32.65040,-30.92554,peaked,385452.7,1.146,0.722,-0.163,2.54,8
28.20752,-29.53114,steep,,-0.684,0.078,-1.020,1.25,22
30.09346,-32.55434,extended,10.0,0.429,0.775,-0.884,1.20,9
31.78560,-28.01071,steep,106.4,-0.674,0.405,-0.911,0.78,14
30.68599,-28.62497,nan,,,,,,1
30.29755,-32.17422,steep,,-0.953,0.007,-1.177,3.45,22
28.56099,-28.58142,steep,33.1,-1.010,0.452,-1.111,1.10,11
30.71468,-28.26001,steep,,-0.715,0.004,-0.843,10.32,22
30.75337,-30.42836,steep,,-0.860,0.190,-1.181,1.82,19
32.09287,-27.72473,nan,,,,0.541,,3
29.28712,-27.18283,steep,12.5,-1.075,0.197,-1.863,1.81,18
33.32017,-30.03497,extended,9.7,0.423,0.533,-0.743,1.42,12
33.31818,-29.72393,inverted,153.2,0.009,0.034,0.522,2.43,22
27.58047,-30.87042,nan,,,,,,2
27.39179,-29.70013,steep,,-1.378,0.348,-1.075,1.60,15
27.11403,-30.28936,nan,213510.1,-1.158,0.143,,1.02,21
31.53243,-27.87871,steep,0.0,-0.834,0.117,-1.418,1.52,21
31.38447,-28.42363,nan,0.9,-0.750,0.204,,1.86,15
32.84329,-30.37817,steep,4.2,-0.617,0.056,-1.759,2.10,22
29.93061,-32.44006,nan,0.1,-1.253,0.017,,7.12,21
29.81462,-30.78929,steep,9122.1,-0.641,0.037,-1.026,2.05,22
27.54190,-30.68038,nan,,,,,,1
26.54990,-30.27865,steep,16961205.3,-0.814,0.169,-0.991,1.82,22
28.53126,-31.64516,steep,,-0.930,0.117,-1.630,2.68,22
31.56461,-30.00435,nan,3315583.4,-1.390,0.107,,2.10,21
31.14324,-28.10356,steep,,-1.171,0.131,-2.118,3.90,22
29.08078,-30.11680,flat,819.5,-0.617,0.465,-0.433,2.03,8
29.67115,-28.56948,nan,0.9,-1.022,0.268,,0.98,12
29.73433,-31.09928,steep,444893.2,-0.997,0.051,-1.245,1.22,22
30.94408,-30.12451,steep,4514.2,-1.083,0.175,-0.636,0.96,20
27.76674,-30.96451,steep,1.4,-0.941,0.166,-1.418,2.49,21
28.37122,-29.55816,nan,,-1.289,0.199,,3.17,16
33.16233,-30.29262,nan,,,,-1.004,,3
27.78879,-29.38264,steep,,-0.813,0.026,-0.997,1.35,22
30.51859,-32.59952,steep,8930.3,-1.197,0.123,-0.903,1.65,22
31.11606,-28.99898,steep,11667812.4,-1.019,0.042,-1.133,1.40,22
32.84678,-29.48321,steep,182.3,-1.163,0.870,-1.507,4.20,7
27.44222,-30.01472,steep,7.0,-0.730,0.095,-1.298,0.71,22
32.80715,-28.55147,steep,1302050.0,-0.903,0.061,-1.209,2.73,22
29.10440,-30.34627,nan,536.5,-1.131,0.186,,0.68,17
28.34847,-27.62955,steep,21405.4,-1.014,0.009,-0.522,5.66,22
32.53779,-28.54253,steep,,-1.074,0.062,-2.158,4.46,22
32.73091,-31.36951,steep,32206.8,-0.885,0.031,-0.832,2.22,22
29.71357,-28.32993,steep,48.5,-0.683,0.137,-2.011,1.61,21
32.20366,-29.59324,flat,2425.5,-0.201,0.937,-0.346,1.10,6
30.70374,-32.85693,nan,108245.1,-0.826,0.016,,2.69,21
29.43803,-31.09858,steep,0.0,-0.929,0.003,-1.923,7.63,22
30.06969,-32.10766,nan,6.8,-0.507,0.162,,1.61,21
29.93764,-28.94445,steep,0.7,-0.991,0.072,-3.322,9.91,22
31.44653,-31.82983,nan,,,,,,2
31.58025,-27.73679,steep,,-0.874,0.005,-1.234,5.64,22
28.49107,-27.90902,steep,,-0.749,0.050,-0.858,2.42,22
27.89765,-30.40542,flat,0.3,-0.489,0.090,-0.761,1.00,22
29.29780,-30.53940,steep,,-0.796,0.049,-1.472,2.61,22
32.34276,-31.62924,flat,122.6,-0.083,0.020,-0.727,3.02,22
30.16461,-29.81572,steep,7.5,-0.616,0.329,-1.037,1.44,13
30.00681,-29.12402,steep,0.1,-0.677,0.004,-0.880,20.95,22
29.67734,-27.95149,steep,,-0.618,0.171,-0.720,0.65,21
31.24700,-30.53839,steep,16003.5,-1.054,0.268,-0.794,1.45,14
31.88420,-32.33680,steep,,-1.054,0.123,-1.247,1.39,21
31.22103,-30.36736,steep,241.3,-0.663,0.353,-1.999,2.20,14
31.53571,-28.88155,steep,325135037.9,-0.900,0.124,-0.912,1.22,22
29.07007,-31.01560,steep,,-0.783,0.002,-1.064,74.02,22
30.54725,-32.90739,steep,228.0,-1.110,0.415,-1.552,2.34,12
27.97376,-30.29229,steep,6766090.7,-1.153,0.027,-1.482,1.15,22
30.74430,-31.20301,steep,231.5,-0.750,0.253,-2.676,4.93,18
28.73280,-28.17155,steep,,-0.694,0.046,-1.029,0.61,22
31.67854,-31.23323,steep,93.2,-0.847,0.349,-1.484,1.86,14
32.69840,-29.02940,steep,,-1.033,0.021,-1.041,1.39,22
26.89158,-30.25878,nan,2210.1,-2.836,0.049,,19.91,14
33.33817,-29.78840,flat,138.6,-0.369,0.602,-1.384,1.29,8
31.07629,-30.56476,steep,156936.6,-0.884,0.059,-1.247,1.88,22
27.99900,-31.28315,steep,91.6,-0.531,0.241,-1.401,1.54,17
28.31517,-32.57948,nan,,,,-0.936,,3
28.16127,-28.58796,flat,187.1,-0.444,0.342,-2.096,0.82,15
28.26414,-27.90710,flat,56.8,-0.480,0.246,-0.957,1.18,16
29.69674,-28.25111,nan,,-0.949,0.003,,24.47,21
27.46250,-31.92745,flat,276.1,0.011,0.584,-1.294,0.55,12
29.97547,-30.19722,steep,,-0.951,0.016,-1.158,2.09,22
31.22938,-30.12228,steep,43174.9,-0.819,0.100,-0.786,0.65,22
27.77007,-31.58860,steep,9.2,-0.615,0.185,-1.101,1.57,20
27.92525,-30.75411,steep,,-0.870,0.098,-0.979,1.81,22
29.53197,-29.21552,steep,,-0.716,0.005,-0.939,8.90,22
32.96542,-31.01433,flat,117.2,-0.449,0.227,-1.225,1.70,17
32.49346,-29.37500,nan,,,,0.263,,3
33.34618,-30.77825,steep,2.6,-0.687,0.155,-1.161,0.93,21
32.22630,-31.38604,peaked,523.7,0.699,0.193,-0.635,1.68,18
29.78283,-29.12086,steep,18103.3,-1.271,0.178,-1.057,0.98,20
29.18594,-28.50053,steep,0.0,-0.835,0.093,-1.505,3.53,22
31.17602,-28.80937,steep,1791748.6,-0.884,0.037,-0.810,2.24,22
29.18070,-30.01106,nan,1556.3,-1.591,0.174,,1.86,19
29.55941,-28.91458,steep,1.4,-0.603,0.004,-1.111,12.23,22
32.36555,-28.26094,steep,,-0.690,0.130,-0.965,1.70,21
29.80889,-31.69180,steep,,-0.807,0.081,-1.657,1.81,22
28.35105,-27.41048,flat,1668715.4,-0.464,0.078,-0.767,1.81,22
32.15386,-30.52056,steep,31211502.4,-0.981,0.015,-1.495,2.78,22
28.72023,-29.44821,steep,5915.7,-0.959,0.315,-0.511,1.46,13
29.16988,-30.41527,steep,522532.9,-0.776,0.031,-0.845,1.24,22
29.17498,-28.16261,steep,73.0,-0.730,0.254,-1.499,1.57,17
30.74484,-32.34513,steep,,-0.850,0.005,-0.859,8.29,22
28.20354,-28.98337,steep,,-0.661,0.031,-1.039,1.62,22
31.23495,-29.90994,nan,3133871.6,-0.471,0.120,,2.40,20
28.98035,-28.30962,steep,422546.0,-0.819,0.008,-1.126,2.94,22
27.42501,-30.31589,steep,20.9,-0.602,0.176,-1.210,0.83,20
29.46231,-29.19171,steep,0.0,-0.816,0.104,-1.246,1.32,22
28.85927,-31.66429,steep,,-0.875,0.106,-1.206,1.01,21
30.93446,-31.71348,steep,33.2,-0.682,0.330,-1.149,3.14,12
28.07212,-28.39699,nan,2.5,-0.521,0.041,,2.00,21
31.00014,-27.44996,steep,435006.5,-0.630,0.056,-0.731,1.35,22
30.73097,-27.15273,nan,288658.8,-0.831,0.183,,1.53,18
30.04211,-28.20114,steep,47968.9,-0.902,0.022,-1.053,1.78,22
29.67703,-30.58544,nan,39.1,-0.739,0.064,,7.78,21
30.91094,-29.80077,steep,,-0.929,0.116,-1.544,2.90,22
30.18777,-31.05183,steep,2310461.1,-0.927,0.014,-0.641,6.17,22
28.14863,-28.29299,steep,0.2,-0.830,0.039,-0.950,1.86,22
29.38048,-28.60047,flat,530.5,-0.032,0.878,-1.019,0.79,9
